session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
1ap9tb5u,1,mx694fh0,1,feed,A_Intro,1669854468,1,0,0
1ap9tb5u,1,mx694fh0,2,feed,B_Instructions,1669854469,1,0,0
1ap9tb5u,1,mx694fh0,3,feed,C_Tweets,1669854478,1,0,0
1ap9tb5u,1,mx694fh0,4,questionnaire,Brand_Equity,1669854482,1,0,0
1ap9tb5u,1,mx694fh0,5,questionnaire,Brand_Clarity,1669854487,1,0,0
1ap9tb5u,1,mx694fh0,6,questionnaire,Prestige,1669854490,1,0,0
1ap9tb5u,1,mx694fh0,7,questionnaire,Trust,1669854495,1,0,0
1ap9tb5u,1,mx694fh0,8,questionnaire,Risk,1669854501,1,0,0
1ap9tb5u,1,mx694fh0,9,questionnaire,Persuasion,1669854505,1,0,0
1ap9tb5u,1,mx694fh0,10,questionnaire,Pollution,1669854509,1,0,0
1ap9tb5u,1,mx694fh0,11,questionnaire,Fashion,1669854513,1,0,0
1ap9tb5u,1,mx694fh0,12,questionnaire,Web3,1669854517,1,0,0
1ap9tb5u,1,mx694fh0,13,questionnaire,Demographics,1669854523,1,0,0
ccp5ooxr,1,fgma8qio,0,,InitializeParticipant,1669854559,1,0,0
ccp5ooxr,1,fgma8qio,1,feed,A_Intro,1669854566,1,0,0
ay89kzzw,1,19sq4ktm,0,,InitializeParticipant,1669855332,1,0,0
ay89kzzw,2,p1vlcj27,0,,InitializeParticipant,1669855344,1,0,0
ay89kzzw,1,19sq4ktm,1,feed,A_Intro,1669855350,1,0,0
ay89kzzw,2,p1vlcj27,1,feed,A_Intro,1669855354,1,0,0
ay89kzzw,1,19sq4ktm,2,feed,B_Instructions,1669855365,1,0,0
ay89kzzw,3,cj316qef,0,,InitializeParticipant,1669855371,1,0,0
ay89kzzw,2,p1vlcj27,2,feed,B_Instructions,1669855373,1,0,0
ay89kzzw,3,cj316qef,1,feed,A_Intro,1669855386,1,0,0
ay89kzzw,4,5e18n6jp,0,,InitializeParticipant,1669855390,1,0,0
ay89kzzw,3,cj316qef,2,feed,B_Instructions,1669855413,1,0,0
ay89kzzw,4,5e18n6jp,1,feed,A_Intro,1669855447,1,0,0
ay89kzzw,4,5e18n6jp,2,feed,B_Instructions,1669855464,1,0,0
ay89kzzw,1,19sq4ktm,3,feed,C_Tweets,1669855509,1,0,0
ay89kzzw,1,19sq4ktm,4,questionnaire,Brand_Equity,1669855550,1,0,0
ay89kzzw,4,5e18n6jp,3,feed,C_Tweets,1669855571,1,0,0
ay89kzzw,1,19sq4ktm,5,questionnaire,Brand_Clarity,1669855580,1,0,0
ay89kzzw,3,cj316qef,3,feed,C_Tweets,1669855584,1,0,0
ay89kzzw,4,5e18n6jp,4,questionnaire,Brand_Equity,1669855587,1,0,0
ay89kzzw,1,19sq4ktm,6,questionnaire,Prestige,1669855596,1,0,0
ay89kzzw,4,5e18n6jp,5,questionnaire,Brand_Clarity,1669855597,1,0,0
ay89kzzw,5,vjmyrsbb,0,,InitializeParticipant,1669855598,1,0,0
ay89kzzw,4,5e18n6jp,6,questionnaire,Prestige,1669855603,1,0,0
ay89kzzw,5,vjmyrsbb,1,feed,A_Intro,1669855605,1,0,0
ay89kzzw,4,5e18n6jp,7,questionnaire,Trust,1669855611,1,0,0
ay89kzzw,1,19sq4ktm,7,questionnaire,Trust,1669855614,1,0,0
ay89kzzw,5,vjmyrsbb,2,feed,B_Instructions,1669855619,1,0,0
ay89kzzw,4,5e18n6jp,8,questionnaire,Risk,1669855625,1,0,0
ay89kzzw,4,5e18n6jp,9,questionnaire,Persuasion,1669855632,1,0,0
ay89kzzw,2,p1vlcj27,3,feed,C_Tweets,1669855632,1,0,0
ay89kzzw,1,19sq4ktm,8,questionnaire,Risk,1669855638,1,0,0
ay89kzzw,4,5e18n6jp,10,questionnaire,Pollution,1669855642,1,0,0
ay89kzzw,4,5e18n6jp,11,questionnaire,Fashion,1669855658,1,0,0
ay89kzzw,1,19sq4ktm,9,questionnaire,Persuasion,1669855660,1,0,0
ay89kzzw,3,cj316qef,4,questionnaire,Brand_Equity,1669855664,1,0,0
ay89kzzw,4,5e18n6jp,12,questionnaire,Web3,1669855666,1,0,0
ay89kzzw,4,5e18n6jp,13,questionnaire,Demographics,1669855675,1,0,0
ay89kzzw,6,42e0wdm4,0,,InitializeParticipant,1669855690,1,0,0
ay89kzzw,2,p1vlcj27,4,questionnaire,Brand_Equity,1669855695,1,0,0
ay89kzzw,3,cj316qef,5,questionnaire,Brand_Clarity,1669855698,1,0,0
ay89kzzw,6,42e0wdm4,1,feed,A_Intro,1669855699,1,0,0
ay89kzzw,6,42e0wdm4,2,feed,B_Instructions,1669855706,1,0,0
ay89kzzw,3,cj316qef,6,questionnaire,Prestige,1669855711,1,0,0
ay89kzzw,7,gw9hvp7j,0,,InitializeParticipant,1669855712,1,0,0
