participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.tweets,participant.finished,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.prolific_completion_url,feed.1.player.id_in_group,feed.1.player.role,feed.1.player.payoff,feed.1.player.treatment,feed.1.player.privacy_time,feed.1.group.id_in_subsession,feed.1.subsession.round_number,questionnaire.1.player.id_in_group,questionnaire.1.player.role,questionnaire.1.player.payoff,questionnaire.1.player.brand_equity_1,questionnaire.1.player.brand_equity_2,questionnaire.1.player.brand_equity_3,questionnaire.1.player.brand_equity_4,questionnaire.1.player.brand_clarity_1,questionnaire.1.player.brand_clarity_2,questionnaire.1.player.brand_clarity_3,questionnaire.1.player.brand_clarity_4,questionnaire.1.player.brand_clarity_5,questionnaire.1.player.risk_1,questionnaire.1.player.risk_2,questionnaire.1.player.risk_3,questionnaire.1.player.risk_4,questionnaire.1.player.risk_5,questionnaire.1.player.trust_1,questionnaire.1.player.trust_2,questionnaire.1.player.trust_3,questionnaire.1.player.trust_4,questionnaire.1.player.pollution_1,questionnaire.1.player.pollution_2_r,questionnaire.1.player.pollution_3,questionnaire.1.player.persuasive_1,questionnaire.1.player.persuasive_2,questionnaire.1.player.persuasive_3,questionnaire.1.player.persuasive_4,questionnaire.1.player.prestige_1,questionnaire.1.player.prestige_2,questionnaire.1.player.prestige_3,questionnaire.1.player.NFT_ownership,questionnaire.1.player.web3_interest,questionnaire.1.player.fashion_interest_1,questionnaire.1.player.fashion_interest_2,questionnaire.1.player.fashion_interest_3,questionnaire.1.player.fashion_interest_4,questionnaire.1.player.age,questionnaire.1.player.gender,questionnaire.1.player.education,questionnaire.1.player.income,questionnaire.1.player.completed_survey,questionnaire.1.group.id_in_subsession,questionnaire.1.subsession.round_number
1,19sq4ktm,5fc9f0ad4d93b7552c950e72,0,14,14,questionnaire,Debriefing,2022-12-01 00:42:12.998615,1,,,0.0,"    doc community                 id  ... pic_available icon row 15   33   fashion           1.51E+18  ...         False   Es   1 19   32   fashion           1.51E+18  ...         False   Es   2 5     4   fashion           1.51E+18  ...          True   Es   3 9    23   fashion           1.51E+18  ...          True   Es   4 13   13   fashion           1.51E+18  ...          True   Es   5 3    11   fashion           1.51E+18  ...         False   Es   6 21   40     web22                NaN  ...          True   Ag   7 17   35   fashion           1.51E+18  ...          True   Es   8 10   14   fashion           1.51E+18  ...          True   Es   9 8    24   fashion           1.51E+18  ...         False   Es  10 24   36     web18                NaN  ...          True   Kc  11 6    21   fashion  1,50663040029e+18  ...         False   Es  12 0     2   fashion           1.51E+18  ...          True   Es  13 20   10      web7                NaN  ...         False   Cr  14 22   17      web9                NaN  ...         False   Ma  15 7    15   fashion           1.51E+18  ...          True   Es  16 16    1   fashion           1.51E+18  ...         False   Es  17 12   25   fashion           1.51E+18  ...          True   Es  18 18   22   fashion           1.51E+18  ...          True   Es  19 23   39     web21                NaN  ...         False   Cr  20 11    5   fashion           1.51E+18  ...          True   Es  21 2    31   fashion           1.50E+18  ...         False   Es  22 1    12   fashion           1.51E+18  ...         False   Es  23 4     3   fashion           1.51E+18  ...          True   Es  24 14   34   fashion           1.51E+18  ...         False   Es  25  [25 rows x 41 columns]",1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,1,,0.0,clean,,1,1,1,,0.0,3,3,2,2,5,4,3,5,3,5,5,5,6,6,4,5,3,2,2,5,2,2,2,3,2,3,2,2,0,0,1,1,1,1,20,1,3,1,1,1,1
2,p1vlcj27,5588ab5efdf99b78a7275436,0,14,14,questionnaire,Debriefing,2022-12-01 00:42:24.119656,1,,,0.0,    doc community        id  ... pic_available icon row 22   26     web13       NaN  ...          True   No   1 5    10      web7       NaN  ...         False   Cr   2 7    29     web16       NaN  ...         False   Wh   3 17   16      web8       NaN  ...          True   Ar   4 4    35   fashion  1.51E+18  ...          True   Es   5 14   40     web22       NaN  ...          True   Ag   6 3     1   fashion  1.51E+18  ...         False   Es   7 18    8      web5       NaN  ...         False   Tr   8 9    30     web17       NaN  ...          True   Su   9 10   37     web19       NaN  ...         False   St  10 16   36     web18       NaN  ...          True   Kc  11 11   19     web11       NaN  ...         False   Ξd  12 24   17      web9       NaN  ...         False   Ma  13 21   39     web21       NaN  ...         False   Cr  14 0    23   fashion  1.51E+18  ...          True   Es  15 2    15   fashion  1.51E+18  ...          True   Es  16 19   28     web15       NaN  ...          True   Ca  17 8    18     web10       NaN  ...          True   Bo  18 15    6      web3       NaN  ...          True   Λv  19 12   38     web20       NaN  ...         False   St  20 6    27     web14       NaN  ...         False   St  21 1    31   fashion  1.50E+18  ...         False   Es  22 13   20     web12       NaN  ...         False   Jo  23 23    7      web4       NaN  ...         False   Bi  24 20    9      web6       NaN  ...         False   Cr  25  [25 rows x 41 columns],1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,2,,0.0,polluted,,1,1,2,,0.0,2,3,2,1,2,2,2,2,2,5,3,5,5,5,3,3,3,3,5,5,5,2,2,1,2,2,2,2,0,0,1,1,1,1,35,1,5,4,1,1,1
3,cj316qef,5e5d1b803676ec022dfdd13b,0,14,14,questionnaire,Debriefing,2022-12-01 00:42:51.311913,1,,,0.0,"    doc community                 id  ... pic_available icon row 5    34   fashion           1.51E+18  ...         False   Es   1 12    1   fashion           1.51E+18  ...         False   Es   2 24    8      web5                NaN  ...         False   Tr   3 19   22   fashion           1.51E+18  ...          True   Es   4 10    5   fashion           1.51E+18  ...          True   Es   5 11   13   fashion           1.51E+18  ...          True   Es   6 14   23   fashion           1.51E+18  ...          True   Es   7 13   12   fashion           1.51E+18  ...         False   Es   8 6    32   fashion           1.51E+18  ...         False   Es   9 17   24   fashion           1.51E+18  ...         False   Es  10 23   30     web17                NaN  ...          True   Su  11 16   14   fashion           1.51E+18  ...          True   Es  12 18    2   fashion           1.51E+18  ...          True   Es  13 20   18     web10                NaN  ...          True   Bo  14 1    35   fashion           1.51E+18  ...          True   Es  15 4     3   fashion           1.51E+18  ...          True   Es  16 0    25   fashion           1.51E+18  ...          True   Es  17 2     4   fashion           1.51E+18  ...          True   Es  18 9    33   fashion           1.51E+18  ...         False   Es  19 15   15   fashion           1.51E+18  ...          True   Es  20 7    21   fashion  1,50663040029e+18  ...         False   Es  21 21   38     web20                NaN  ...         False   St  22 3    31   fashion           1.50E+18  ...         False   Es  23 22   37     web19                NaN  ...         False   St  24 8    11   fashion           1.51E+18  ...         False   Es  25  [25 rows x 41 columns]",1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,3,,0.0,clean,,1,1,3,,0.0,2,2,1,1,2,1,1,1,1,7,3,7,4,7,2,2,1,1,2,4,2,1,1,1,1,1,1,1,0,0,1,1,1,1,42,1,6,7,1,1,1
4,5e18n6jp,62a740d9c5f27d3efa9d9403,0,14,14,questionnaire,Debriefing,2022-12-01 00:43:10.786385,1,,,0.0,    doc community        id  ... pic_available icon row 6     6      web3       NaN  ...          True   Λv   1 3    32   fashion  1.51E+18  ...         False   Es   2 10   36     web18       NaN  ...          True   Kc   3 9    28     web15       NaN  ...          True   Ca   4 18   30     web17       NaN  ...          True   Su   5 24   40     web22       NaN  ...          True   Ag   6 11   38     web20       NaN  ...         False   St   7 12   29     web16       NaN  ...         False   Wh   8 5    19     web11       NaN  ...         False   Ξd   9 13   17      web9       NaN  ...         False   Ma  10 16   37     web19       NaN  ...         False   St  11 15   39     web21       NaN  ...         False   Cr  12 23   16      web8       NaN  ...          True   Ar  13 1     3   fashion  1.51E+18  ...          True   Es  14 8    26     web13       NaN  ...          True   No  15 14   10      web7       NaN  ...         False   Cr  16 7    20     web12       NaN  ...         False   Jo  17 22    8      web5       NaN  ...         False   Tr  18 2    22   fashion  1.51E+18  ...          True   Es  19 17   27     web14       NaN  ...         False   St  20 20   18     web10       NaN  ...          True   Bo  21 19    9      web6       NaN  ...         False   Cr  22 4    15   fashion  1.51E+18  ...          True   Es  23 0    33   fashion  1.51E+18  ...         False   Es  24 21    7      web4       NaN  ...         False   Bi  25  [25 rows x 41 columns],1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,4,,0.0,polluted,,1,1,4,,0.0,2,3,1,1,1,1,1,1,1,3,2,2,4,4,3,2,3,3,5,4,6,1,1,1,1,1,1,1,0,1,1,1,1,1,26,2,5,6,1,1,1
5,vjmyrsbb,610764339193d5bd0258a31a,0,14,14,questionnaire,Debriefing,2022-12-01 00:46:38.168117,1,,,0.0,"    doc community                 id  ... pic_available icon row 19   11   fashion           1.51E+18  ...         False   Es   1 10   15   fashion           1.51E+18  ...          True   Es   2 21   18     web10                NaN  ...          True   Bo   3 8    24   fashion           1.51E+18  ...         False   Es   4 7    35   fashion           1.51E+18  ...          True   Es   5 15   31   fashion           1.50E+18  ...         False   Es   6 3    25   fashion           1.51E+18  ...          True   Es   7 24   40     web22                NaN  ...          True   Ag   8 13   21   fashion  1,50663040029e+18  ...         False   Es   9 4    32   fashion           1.51E+18  ...         False   Es  10 17   33   fashion           1.51E+18  ...         False   Es  11 20    9      web6                NaN  ...         False   Cr  12 6     3   fashion           1.51E+18  ...          True   Es  13 18   14   fashion           1.51E+18  ...          True   Es  14 9    13   fashion           1.51E+18  ...          True   Es  15 0    23   fashion           1.51E+18  ...          True   Es  16 5     2   fashion           1.51E+18  ...          True   Es  17 11   34   fashion           1.51E+18  ...         False   Es  18 12   22   fashion           1.51E+18  ...          True   Es  19 23   10      web7                NaN  ...         False   Cr  20 14    4   fashion           1.51E+18  ...          True   Es  21 22    7      web4                NaN  ...         False   Bi  22 16    5   fashion           1.51E+18  ...          True   Es  23 1    12   fashion           1.51E+18  ...         False   Es  24 2     1   fashion           1.51E+18  ...         False   Es  25  [25 rows x 41 columns]",1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,5,,0.0,clean,,1,1,5,,0.0,2,2,1,1,5,4,5,5,5,6,5,6,6,5,4,4,4,4,1,1,1,2,2,1,2,1,1,1,0,0,1,1,1,1,40,1,5,5,1,1,1
6,42e0wdm4,631e93c7ec7b2604adbc372f,0,14,14,questionnaire,Debriefing,2022-12-01 00:48:10.282789,1,,,0.0,    doc community        id  ... pic_available icon row 21   17      web9       NaN  ...         False   Ma   1 17   36     web18       NaN  ...          True   Kc   2 22   27     web14       NaN  ...         False   St   3 5    38     web20       NaN  ...         False   St   4 14   18     web10       NaN  ...          True   Bo   5 4    12   fashion  1.51E+18  ...         False   Es   6 9    20     web12       NaN  ...         False   Jo   7 11    6      web3       NaN  ...          True   Λv   8 12   10      web7       NaN  ...         False   Cr   9 8    37     web19       NaN  ...         False   St  10 6     7      web4       NaN  ...         False   Bi  11 15    9      web6       NaN  ...         False   Cr  12 3    31   fashion  1.50E+18  ...         False   Es  13 1    34   fashion  1.51E+18  ...         False   Es  14 20   19     web11       NaN  ...         False   Ξd  15 0    11   fashion  1.51E+18  ...         False   Es  16 7    16      web8       NaN  ...          True   Ar  17 19   29     web16       NaN  ...         False   Wh  18 16   39     web21       NaN  ...         False   Cr  19 24   28     web15       NaN  ...          True   Ca  20 18   30     web17       NaN  ...          True   Su  21 23   40     web22       NaN  ...          True   Ag  22 13   26     web13       NaN  ...          True   No  23 2    13   fashion  1.51E+18  ...          True   Es  24 10    8      web5       NaN  ...         False   Tr  25  [25 rows x 41 columns],1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,6,,0.0,polluted,,1,1,6,,0.0,5,6,4,4,4,4,6,2,6,3,2,3,2,3,4,4,4,4,3,2,2,6,5,5,5,1,3,2,0,1,1,1,1,1,25,2,6,1,1,1,1
7,gw9hvp7j,5f0a515ebab8d1316a5e99bd,0,14,14,questionnaire,Debriefing,2022-12-01 00:48:32.797704,1,,,0.0,"    doc community                 id  ... pic_available icon row 13   22   fashion           1.51E+18  ...          True   Es   1 16   15   fashion           1.51E+18  ...          True   Es   2 0    14   fashion           1.51E+18  ...          True   Es   3 10   32   fashion           1.51E+18  ...         False   Es   4 17   35   fashion           1.51E+18  ...          True   Es   5 9    11   fashion           1.51E+18  ...         False   Es   6 6    31   fashion           1.50E+18  ...         False   Es   7 24   19     web11                NaN  ...         False   Ξd   8 23   40     web22                NaN  ...          True   Ag   9 12   12   fashion           1.51E+18  ...         False   Es  10 4    25   fashion           1.51E+18  ...          True   Es  11 18    1   fashion           1.51E+18  ...         False   Es  12 21   17      web9                NaN  ...         False   Ma  13 2    13   fashion           1.51E+18  ...          True   Es  14 20    6      web3                NaN  ...          True   Λv  15 14   33   fashion           1.51E+18  ...         False   Es  16 15   24   fashion           1.51E+18  ...         False   Es  17 22   20     web12                NaN  ...         False   Jo  18 19    2   fashion           1.51E+18  ...          True   Es  19 8    21   fashion  1,50663040029e+18  ...         False   Es  20 7    23   fashion           1.51E+18  ...          True   Es  21 11    5   fashion           1.51E+18  ...          True   Es  22 5     4   fashion           1.51E+18  ...          True   Es  23 3     3   fashion           1.51E+18  ...          True   Es  24 1    34   fashion           1.51E+18  ...         False   Es  25  [25 rows x 41 columns]",1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,7,,0.0,clean,,1,1,7,,0.0,2,4,4,1,4,3,4,2,3,5,5,3,4,3,1,1,4,3,3,4,5,1,2,1,1,3,3,3,0,1,1,1,1,1,21,1,3,6,1,1,1
8,89zjujvk,60fcf51ea607172e795e8e5b,0,14,14,questionnaire,Debriefing,2022-12-01 00:48:57.858963,1,,,0.0,"    doc community                 id  ... pic_available icon row 6    27     web14                NaN  ...         False   St   1 19    9      web6                NaN  ...         False   Cr   2 9    40     web22                NaN  ...          True   Ag   3 15    6      web3                NaN  ...          True   Λv   4 7    19     web11                NaN  ...         False   Ξd   5 10   38     web20                NaN  ...         False   St   6 24    8      web5                NaN  ...         False   Tr   7 12   28     web15                NaN  ...          True   Ca   8 0    34   fashion           1.51E+18  ...         False   Es   9 2     5   fashion           1.51E+18  ...          True   Es  10 23   29     web16                NaN  ...         False   Wh  11 17   39     web21                NaN  ...         False   Cr  12 21   37     web19                NaN  ...         False   St  13 3    21   fashion  1,50663040029e+18  ...         False   Es  14 18   36     web18                NaN  ...          True   Kc  15 22   26     web13                NaN  ...          True   No  16 1    35   fashion           1.51E+18  ...          True   Es  17 20   17      web9                NaN  ...         False   Ma  18 5    10      web7                NaN  ...         False   Cr  19 4     3   fashion           1.51E+18  ...          True   Es  20 16    7      web4                NaN  ...         False   Bi  21 8    20     web12                NaN  ...         False   Jo  22 14   30     web17                NaN  ...          True   Su  23 11   16      web8                NaN  ...          True   Ar  24 13   18     web10                NaN  ...          True   Bo  25  [25 rows x 41 columns]",1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,8,,0.0,polluted,,1,1,8,,0.0,5,6,6,2,3,5,3,2,2,5,5,5,5,5,5,4,5,4,5,2,5,4,6,6,6,5,4,5,0,0,1,1,1,1,23,1,2,2,1,1,1
9,7lidtu9t,62728a3ddaa0b0bbc2e64649,0,14,14,questionnaire,Debriefing,2022-12-01 00:48:59.531140,1,,,0.0,"    doc community                 id  ... pic_available icon row 13   14   fashion           1.51E+18  ...          True   Es   1 4    33   fashion           1.51E+18  ...         False   Es   2 16   12   fashion           1.51E+18  ...         False   Es   3 24   30     web17                NaN  ...          True   Su   4 11   21   fashion  1,50663040029e+18  ...         False   Es   5 8     2   fashion           1.51E+18  ...          True   Es   6 21    7      web4                NaN  ...         False   Bi   7 15   22   fashion           1.51E+18  ...          True   Es   8 3     5   fashion           1.51E+18  ...          True   Es   9 7    32   fashion           1.51E+18  ...         False   Es  10 9    11   fashion           1.51E+18  ...         False   Es  11 10   24   fashion           1.51E+18  ...         False   Es  12 1    25   fashion           1.51E+18  ...          True   Es  13 19    4   fashion           1.51E+18  ...          True   Es  14 2    35   fashion           1.51E+18  ...          True   Es  15 17   34   fashion           1.51E+18  ...         False   Es  16 20   38     web20                NaN  ...         False   St  17 23   29     web16                NaN  ...         False   Wh  18 0    15   fashion           1.51E+18  ...          True   Es  19 5    13   fashion           1.51E+18  ...          True   Es  20 6     3   fashion           1.51E+18  ...          True   Es  21 14   31   fashion           1.50E+18  ...         False   Es  22 12    1   fashion           1.51E+18  ...         False   Es  23 18   23   fashion           1.51E+18  ...          True   Es  24 22   28     web15                NaN  ...          True   Ca  25  [25 rows x 41 columns]",1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,9,,0.0,clean,,1,1,9,,0.0,4,6,4,1,1,3,2,2,3,5,4,5,4,4,4,5,4,5,2,4,1,3,4,3,3,2,2,2,0,0,1,1,1,1,38,1,8,8,1,1,1
10,bu2g56yr,5f9503492c2f0e3659637ac7,0,14,14,questionnaire,Debriefing,2022-12-01 00:51:14.551636,1,,,0.0,    doc community        id  ... pic_available icon row 9    26     web13       NaN  ...          True   No   1 13   30     web17       NaN  ...          True   Su   2 4    12   fashion  1.51E+18  ...         False   Es   3 19   19     web11       NaN  ...         False   Ξd   4 12    9      web6       NaN  ...         False   Cr   5 15    6      web3       NaN  ...          True   Λv   6 5    37     web19       NaN  ...         False   St   7 23   16      web8       NaN  ...          True   Ar   8 21   29     web16       NaN  ...         False   Wh   9 11   38     web20       NaN  ...         False   St  10 6     7      web4       NaN  ...         False   Bi  11 20   39     web21       NaN  ...         False   Cr  12 22    8      web5       NaN  ...         False   Tr  13 10   17      web9       NaN  ...         False   Ma  14 14   20     web12       NaN  ...         False   Jo  15 1    15   fashion  1.51E+18  ...          True   Es  16 2    33   fashion  1.51E+18  ...         False   Es  17 3    32   fashion  1.51E+18  ...         False   Es  18 7    10      web7       NaN  ...         False   Cr  19 16   36     web18       NaN  ...          True   Kc  20 24   40     web22       NaN  ...          True   Ag  21 17   28     web15       NaN  ...          True   Ca  22 18   18     web10       NaN  ...          True   Bo  23 0    13   fashion  1.51E+18  ...          True   Es  24 8    27     web14       NaN  ...         False   St  25  [25 rows x 41 columns],1,ay89kzzw,,,,,0,2.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=C1MXRORR,10,,0.0,polluted,,1,1,10,,0.0,3,5,6,1,2,4,2,4,5,5,4,6,6,7,2,1,1,1,3,4,2,1,1,1,1,3,3,4,0,1,1,1,1,1,26,2,5,6,1,1,1
