participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.tweets,participant.finished,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.prolific_completion_url,feed.1.player.id_in_group,feed.1.player.role,feed.1.player.payoff,feed.1.player.treatment,feed.1.player.privacy_time,feed.1.player.completed_survey,feed.1.player.affective0,feed.1.player.affective1,feed.1.player.affective2,feed.1.player.affective3,feed.1.player.affective4,feed.1.player.affective5,feed.1.player.affective6,feed.1.player.affective7,feed.1.player.affective8,feed.1.player.affective9,feed.1.player.affective10,feed.1.player.affective11,feed.1.player.affective12,feed.1.player.affective13,feed.1.player.affective14,feed.1.player.affective15,feed.1.player.affective16,feed.1.player.affective17,feed.1.player.affective18,feed.1.player.affective19,feed.1.player.affective20,feed.1.player.affective21,feed.1.player.affective22,feed.1.player.affective23,feed.1.player.affective24,feed.1.player.affective25,feed.1.player.affective26,feed.1.player.affective27,feed.1.player.affective28,feed.1.player.affective29,feed.1.player.affective30,feed.1.player.affective31,feed.1.player.affective32,feed.1.player.affective33,feed.1.player.affective34,feed.1.player.affective35,feed.1.player.affective36,feed.1.player.affective37,feed.1.player.affective38,feed.1.player.affective39,feed.1.player.affective40,feed.1.player.fashion0,feed.1.player.fashion1,feed.1.player.fashion2,feed.1.player.fashion3,feed.1.player.fashion4,feed.1.player.fashion5,feed.1.player.fashion6,feed.1.player.fashion7,feed.1.player.fashion8,feed.1.player.fashion9,feed.1.player.fashion10,feed.1.player.fashion11,feed.1.player.fashion12,feed.1.player.fashion13,feed.1.player.fashion14,feed.1.player.fashion15,feed.1.player.fashion16,feed.1.player.fashion17,feed.1.player.fashion18,feed.1.player.fashion19,feed.1.player.fashion20,feed.1.player.fashion21,feed.1.player.fashion22,feed.1.player.fashion23,feed.1.player.fashion24,feed.1.player.fashion25,feed.1.player.fashion26,feed.1.player.fashion27,feed.1.player.fashion28,feed.1.player.fashion29,feed.1.player.fashion30,feed.1.player.fashion31,feed.1.player.fashion32,feed.1.player.fashion33,feed.1.player.fashion34,feed.1.player.fashion35,feed.1.player.fashion36,feed.1.player.fashion37,feed.1.player.fashion38,feed.1.player.fashion39,feed.1.player.fashion40,feed.1.player.urgent0,feed.1.player.urgent1,feed.1.player.urgent2,feed.1.player.urgent3,feed.1.player.urgent4,feed.1.player.urgent5,feed.1.player.urgent6,feed.1.player.urgent7,feed.1.player.urgent8,feed.1.player.urgent9,feed.1.player.urgent10,feed.1.player.urgent11,feed.1.player.urgent12,feed.1.player.urgent13,feed.1.player.urgent14,feed.1.player.urgent15,feed.1.player.urgent16,feed.1.player.urgent17,feed.1.player.urgent18,feed.1.player.urgent19,feed.1.player.urgent20,feed.1.player.urgent21,feed.1.player.urgent22,feed.1.player.urgent23,feed.1.player.urgent24,feed.1.player.urgent25,feed.1.player.urgent26,feed.1.player.urgent27,feed.1.player.urgent28,feed.1.player.urgent29,feed.1.player.urgent30,feed.1.player.urgent31,feed.1.player.urgent32,feed.1.player.urgent33,feed.1.player.urgent34,feed.1.player.urgent35,feed.1.player.urgent36,feed.1.player.urgent37,feed.1.player.urgent38,feed.1.player.urgent39,feed.1.player.urgent40,feed.1.player.financial0,feed.1.player.financial1,feed.1.player.financial2,feed.1.player.financial3,feed.1.player.financial4,feed.1.player.financial5,feed.1.player.financial6,feed.1.player.financial7,feed.1.player.financial8,feed.1.player.financial9,feed.1.player.financial10,feed.1.player.financial11,feed.1.player.financial12,feed.1.player.financial13,feed.1.player.financial14,feed.1.player.financial15,feed.1.player.financial16,feed.1.player.financial17,feed.1.player.financial18,feed.1.player.financial19,feed.1.player.financial20,feed.1.player.financial21,feed.1.player.financial22,feed.1.player.financial23,feed.1.player.financial24,feed.1.player.financial25,feed.1.player.financial26,feed.1.player.financial27,feed.1.player.financial28,feed.1.player.financial29,feed.1.player.financial30,feed.1.player.financial31,feed.1.player.financial32,feed.1.player.financial33,feed.1.player.financial34,feed.1.player.financial35,feed.1.player.financial36,feed.1.player.financial37,feed.1.player.financial38,feed.1.player.financial39,feed.1.player.financial40,feed.1.group.id_in_subsession,feed.1.subsession.round_number,questionnaire.1.player.id_in_group,questionnaire.1.player.role,questionnaire.1.player.payoff,questionnaire.1.player.brand_equity_1,questionnaire.1.player.brand_equity_2,questionnaire.1.player.brand_equity_3,questionnaire.1.player.brand_equity_4,questionnaire.1.player.brand_clarity_1,questionnaire.1.player.brand_clarity_2,questionnaire.1.player.brand_clarity_3,questionnaire.1.player.brand_clarity_4,questionnaire.1.player.brand_clarity_5,questionnaire.1.player.risk_1,questionnaire.1.player.risk_2,questionnaire.1.player.risk_3,questionnaire.1.player.risk_4,questionnaire.1.player.risk_5,questionnaire.1.player.trust_1,questionnaire.1.player.trust_2,questionnaire.1.player.trust_3,questionnaire.1.player.trust_4,questionnaire.1.player.pollution_1,questionnaire.1.player.pollution_2_r,questionnaire.1.player.pollution_3,questionnaire.1.player.persuasive_1,questionnaire.1.player.persuasive_2,questionnaire.1.player.persuasive_3,questionnaire.1.player.persuasive_4,questionnaire.1.player.prestige_1,questionnaire.1.player.prestige_2,questionnaire.1.player.prestige_3,questionnaire.1.player.completed_survey,questionnaire.1.group.id_in_subsession,questionnaire.1.subsession.round_number
1,jx1hoqs5,5bed13f5947b0b0001089d15,0,4,4,questionnaire,Debriefing,2022-11-30 19:19:28.305853,1,,,0.0,"    doc community                 id  ...    urgent    financial row 11   22   fashion           1.51E+18  ...  urgent22  financial22   1 10    1   fashion           1.51E+18  ...   urgent1   financial1   2 0     4   fashion           1.51E+18  ...   urgent4   financial4   3 1     2   fashion           1.51E+18  ...   urgent2   financial2   4 4    14   fashion           1.51E+18  ...  urgent14  financial14   5 18   35   fashion           1.51E+18  ...  urgent35  financial35   6 14   21   fashion  1,50663040029e+18  ...  urgent21  financial21   7 15    5   fashion           1.51E+18  ...   urgent5   financial5   8 16   32   fashion           1.51E+18  ...  urgent32  financial32   9 3    33   fashion           1.51E+18  ...  urgent33  financial33  10 17   13   fashion           1.51E+18  ...  urgent13  financial13  11 5    24   fashion           1.51E+18  ...  urgent24  financial24  12 13   23   fashion           1.51E+18  ...  urgent23  financial23  13 2    11   fashion           1.51E+18  ...  urgent11  financial11  14 9    15   fashion           1.51E+18  ...  urgent15  financial15  15 19   34   fashion           1.51E+18  ...  urgent34  financial34  16 8    31   fashion           1.50E+18  ...  urgent31  financial31  17 12   12   fashion           1.51E+18  ...  urgent12  financial12  18 6     3   fashion           1.51E+18  ...   urgent3   financial3  19 7    25   fashion           1.51E+18  ...  urgent25  financial25  20  [20 rows x 45 columns]",1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,1,,0.0,clean,,1,4,4,4,4,3,5,,,,,,3,2,3,5,3,,,,,,5,4,3,3,2,,,,,,5,4,4,4,4,,,,,,5,6,6,6,6,6,,,,,,5,6,5,3,5,,,,,,4,6,2,5,6,,,,,,5,5,3,5,5,,,,,,2,5,4,2,3,5,,,,,,5,5,2,4,4,,,,,,3,5,2,3,3,,,,,,5,3,6,2,5,,,,,,2,2,2,2,2,2,,,,,,2,2,2,2,2,,,,,,2,2,2,2,2,,,,,,3,2,2,2,2,,,,,,1,1,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,6yf74bre,6046a6e50b6ed70d6ab67f0e,0,4,4,questionnaire,Debriefing,2022-11-30 19:19:36.064231,1,,,0.0,    doc community   id conversation_id  ...    affective    urgent    financial  row 2     7      web4  NaN             NaN  ...   affective7   urgent7   financial7    1 6    16      web8  NaN             NaN  ...  affective16  urgent16  financial16    2 1    40     web22  NaN             NaN  ...  affective40  urgent40  financial40    3 5    37     web19  NaN             NaN  ...  affective37  urgent37  financial37    4 16   38     web20  NaN             NaN  ...  affective38  urgent38  financial38    5 13   29     web16  NaN             NaN  ...  affective29  urgent29  financial29    6 17   18     web10  NaN             NaN  ...  affective18  urgent18  financial18    7 12   17      web9  NaN             NaN  ...  affective17  urgent17  financial17    8 9    26     web13  NaN             NaN  ...  affective26  urgent26  financial26    9 11   27     web14  NaN             NaN  ...  affective27  urgent27  financial27   10 0     8      web5  NaN             NaN  ...   affective8   urgent8   financial8   11 18   19     web11  NaN             NaN  ...  affective19  urgent19  financial19   12 10   20     web12  NaN             NaN  ...  affective20  urgent20  financial20   13 7    39     web21  NaN             NaN  ...  affective39  urgent39  financial39   14 3    28     web15  NaN             NaN  ...  affective28  urgent28  financial28   15 14   10      web7  NaN             NaN  ...  affective10  urgent10  financial10   16 4     9      web6  NaN             NaN  ...   affective9   urgent9   financial9   17 15    6      web3  NaN             NaN  ...   affective6   urgent6   financial6   18 8    30     web17  NaN             NaN  ...  affective30  urgent30  financial30   19 19   36     web18  NaN             NaN  ...  affective36  urgent36  financial36   20  [20 rows x 45 columns],1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,2,,0.0,polluted,,1,2,,,,,,5,5,4,3,3,,,,,,6,4,5,5,2,,,,,,6,5,7,5,4,,,,,,3,2,3,5,5,3,,,,,,6,5,5,3,2,,,,,,6,4,5,4,2,,,,,,6,5,6,5,3,,,,,,4,2,3,5,5,4,,,,,,4,5,2,2,2,,,,,,5,4,5,4,2,,,,,,6,7,6,4,3,,,,,,5,2,3,6,4,1,,,,,,4,5,4,3,3,,,,,,5,4,5,3,2,,,,,,5,5,6,4,4,,,,,,2,3,3,4,4,1,1,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
3,ogdohkf8,5c70974403f85b0001af8d5d,0,4,4,questionnaire,Debriefing,2022-11-30 19:20:22.248865,1,,,0.0,"    doc community                 id  ...    urgent    financial row 1    21   fashion  1,50663040029e+18  ...  urgent21  financial21   1 16    5   fashion           1.51E+18  ...   urgent5   financial5   2 8     2   fashion           1.51E+18  ...   urgent2   financial2   3 9    33   fashion           1.51E+18  ...  urgent33  financial33   4 15   22   fashion           1.51E+18  ...  urgent22  financial22   5 17   24   fashion           1.51E+18  ...  urgent24  financial24   6 18   35   fashion           1.51E+18  ...  urgent35  financial35   7 6    12   fashion           1.51E+18  ...  urgent12  financial12   8 5    31   fashion           1.50E+18  ...  urgent31  financial31   9 0    15   fashion           1.51E+18  ...  urgent15  financial15  10 12   34   fashion           1.51E+18  ...  urgent34  financial34  11 7    25   fashion           1.51E+18  ...  urgent25  financial25  12 13    3   fashion           1.51E+18  ...   urgent3   financial3  13 11    4   fashion           1.51E+18  ...   urgent4   financial4  14 10   13   fashion           1.51E+18  ...  urgent13  financial13  15 14   14   fashion           1.51E+18  ...  urgent14  financial14  16 3    11   fashion           1.51E+18  ...  urgent11  financial11  17 4     1   fashion           1.51E+18  ...   urgent1   financial1  18 19   32   fashion           1.51E+18  ...  urgent32  financial32  19 2    23   fashion           1.51E+18  ...  urgent23  financial23  20  [20 rows x 45 columns]",1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,3,,0.0,clean,,1,3,3,3,4,4,3,,,,,,4,3,4,4,2,,,,,,3,3,4,2,3,,,,,,3,2,2,3,3,,,,,,4,4,5,5,4,3,,,,,,4,3,4,4,4,,,,,,4,4,4,2,5,,,,,,3,2,3,5,2,,,,,,2,3,4,3,3,4,,,,,,3,3,3,4,2,,,,,,2,4,3,2,3,,,,,,3,2,3,3,3,,,,,,1,2,4,2,2,2,,,,,,2,2,2,2,2,,,,,,1,2,1,2,2,,,,,,3,2,3,2,3,,,,,,1,1,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
4,9was9jwj,60ca3a586496efd900cdf7bc,0,4,4,questionnaire,Debriefing,2022-11-30 19:21:51.514551,1,,,0.0,    doc community   id conversation_id  ...    affective    urgent    financial  row 6    36     web18  NaN             NaN  ...  affective36  urgent36  financial36    1 3    19     web11  NaN             NaN  ...  affective19  urgent19  financial19    2 0    30     web17  NaN             NaN  ...  affective30  urgent30  financial30    3 19   26     web13  NaN             NaN  ...  affective26  urgent26  financial26    4 17   28     web15  NaN             NaN  ...  affective28  urgent28  financial28    5 10   20     web12  NaN             NaN  ...  affective20  urgent20  financial20    6 2    17      web9  NaN             NaN  ...  affective17  urgent17  financial17    7 14    7      web4  NaN             NaN  ...   affective7   urgent7   financial7    8 16   40     web22  NaN             NaN  ...  affective40  urgent40  financial40    9 4     9      web6  NaN             NaN  ...   affective9   urgent9   financial9   10 12   38     web20  NaN             NaN  ...  affective38  urgent38  financial38   11 7    37     web19  NaN             NaN  ...  affective37  urgent37  financial37   12 18   29     web16  NaN             NaN  ...  affective29  urgent29  financial29   13 1     6      web3  NaN             NaN  ...   affective6   urgent6   financial6   14 9    10      web7  NaN             NaN  ...  affective10  urgent10  financial10   15 13   16      web8  NaN             NaN  ...  affective16  urgent16  financial16   16 15   27     web14  NaN             NaN  ...  affective27  urgent27  financial27   17 5     8      web5  NaN             NaN  ...   affective8   urgent8   financial8   18 11   18     web10  NaN             NaN  ...  affective18  urgent18  financial18   19 8    39     web21  NaN             NaN  ...  affective39  urgent39  financial39   20  [20 rows x 45 columns],1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,4,,0.0,polluted,,1,2,,,,,,1,3,1,1,2,,,,,,2,1,1,2,4,,,,,,1,1,3,3,4,,,,,,2,1,1,1,3,5,,,,,,7,3,3,6,3,,,,,,6,1,7,1,5,,,,,,1,1,4,7,5,,,,,,1,1,3,3,3,3,,,,,,1,4,1,2,1,,,,,,5,1,1,1,1,,,,,,5,5,4,7,1,,,,,,1,5,2,1,3,6,,,,,,1,5,1,2,1,,,,,,7,3,5,1,6,,,,,,7,7,6,7,3,,,,,,3,4,5,5,1,1,1,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
5,g0v9p7we,5d9ea36375ef0000131e26f7,0,4,4,questionnaire,Debriefing,2022-11-30 19:23:48.290966,1,,,0.0,"    doc community                 id  ...    urgent    financial row 2    32   fashion           1.51E+18  ...  urgent32  financial32   1 3     1   fashion           1.51E+18  ...   urgent1   financial1   2 0    25   fashion           1.51E+18  ...  urgent25  financial25   3 15    2   fashion           1.51E+18  ...   urgent2   financial2   4 16    3   fashion           1.51E+18  ...   urgent3   financial3   5 13    5   fashion           1.51E+18  ...   urgent5   financial5   6 11   33   fashion           1.51E+18  ...  urgent33  financial33   7 18   13   fashion           1.51E+18  ...  urgent13  financial13   8 19   12   fashion           1.51E+18  ...  urgent12  financial12   9 7    21   fashion  1,50663040029e+18  ...  urgent21  financial21  10 12   22   fashion           1.51E+18  ...  urgent22  financial22  11 14   14   fashion           1.51E+18  ...  urgent14  financial14  12 6    34   fashion           1.51E+18  ...  urgent34  financial34  13 5    24   fashion           1.51E+18  ...  urgent24  financial24  14 9    31   fashion           1.50E+18  ...  urgent31  financial31  15 17   15   fashion           1.51E+18  ...  urgent15  financial15  16 1    23   fashion           1.51E+18  ...  urgent23  financial23  17 4     4   fashion           1.51E+18  ...   urgent4   financial4  18 10   35   fashion           1.51E+18  ...  urgent35  financial35  19 8    11   fashion           1.51E+18  ...  urgent11  financial11  20  [20 rows x 45 columns]",1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,5,,0.0,clean,,1,1,1,3,3,2,2,,,,,,1,1,2,1,1,,,,,,3,1,2,1,2,,,,,,1,1,1,1,1,,,,,,1,5,6,5,6,6,,,,,,5,5,6,2,4,,,,,,4,5,4,5,5,,,,,,5,6,4,5,5,,,,,,5,6,5,3,5,6,,,,,,7,7,2,7,6,,,,,,3,6,4,7,4,,,,,,7,4,7,5,6,,,,,,7,5,5,4,6,7,,,,,,7,7,5,7,7,,,,,,4,7,7,7,5,,,,,,7,7,7,7,7,,,,,,1,1,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
6,27uhtyxu,60fa202b8a14d383e0873d97,0,4,4,questionnaire,Debriefing,2022-11-30 19:25:53.048330,1,,,0.0,    doc community   id conversation_id  ...    affective    urgent    financial  row 10   10      web7  NaN             NaN  ...  affective10  urgent10  financial10    1 3     6      web3  NaN             NaN  ...   affective6   urgent6   financial6    2 19   36     web18  NaN             NaN  ...  affective36  urgent36  financial36    3 11   29     web16  NaN             NaN  ...  affective29  urgent29  financial29    4 1    38     web20  NaN             NaN  ...  affective38  urgent38  financial38    5 4    17      web9  NaN             NaN  ...  affective17  urgent17  financial17    6 12   28     web15  NaN             NaN  ...  affective28  urgent28  financial28    7 16   16      web8  NaN             NaN  ...  affective16  urgent16  financial16    8 8    27     web14  NaN             NaN  ...  affective27  urgent27  financial27    9 7    19     web11  NaN             NaN  ...  affective19  urgent19  financial19   10 6     9      web6  NaN             NaN  ...   affective9   urgent9   financial9   11 17   40     web22  NaN             NaN  ...  affective40  urgent40  financial40   12 14    8      web5  NaN             NaN  ...   affective8   urgent8   financial8   13 9    30     web17  NaN             NaN  ...  affective30  urgent30  financial30   14 13   37     web19  NaN             NaN  ...  affective37  urgent37  financial37   15 5     7      web4  NaN             NaN  ...   affective7   urgent7   financial7   16 2    39     web21  NaN             NaN  ...  affective39  urgent39  financial39   17 0    18     web10  NaN             NaN  ...  affective18  urgent18  financial18   18 18   20     web12  NaN             NaN  ...  affective20  urgent20  financial20   19 15   26     web13  NaN             NaN  ...  affective26  urgent26  financial26   20  [20 rows x 45 columns],1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,6,,0.0,polluted,,1,3,,,,,,3,5,2,6,2,,,,,,7,3,2,5,3,,,,,,5,4,6,5,5,,,,,,5,2,2,2,2,6,,,,,,6,2,2,2,1,,,,,,6,2,6,2,3,,,,,,2,2,2,5,5,,,,,,3,2,2,2,2,3,,,,,,4,4,2,2,1,,,,,,5,4,3,2,2,,,,,,6,3,6,6,2,,,,,,5,4,3,2,3,4,,,,,,5,5,4,5,5,,,,,,7,4,5,3,3,,,,,,5,4,6,7,4,,,,,,6,4,3,3,2,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
7,a89bdfnw,636179b73607c46b791cc4c0,0,4,4,questionnaire,Debriefing,2022-11-30 19:27:32.757080,1,,,0.0,"    doc community                 id  ...    urgent    financial row 8    11   fashion           1.51E+18  ...  urgent11  financial11   1 2    31   fashion           1.50E+18  ...  urgent31  financial31   2 13   13   fashion           1.51E+18  ...  urgent13  financial13   3 15   15   fashion           1.51E+18  ...  urgent15  financial15   4 18    2   fashion           1.51E+18  ...   urgent2   financial2   5 3    34   fashion           1.51E+18  ...  urgent34  financial34   6 16   25   fashion           1.51E+18  ...  urgent25  financial25   7 7    12   fashion           1.51E+18  ...  urgent12  financial12   8 11   21   fashion  1,50663040029e+18  ...  urgent21  financial21   9 9     4   fashion           1.51E+18  ...   urgent4   financial4  10 17   35   fashion           1.51E+18  ...  urgent35  financial35  11 4     5   fashion           1.51E+18  ...   urgent5   financial5  12 0     1   fashion           1.51E+18  ...   urgent1   financial1  13 10   22   fashion           1.51E+18  ...  urgent22  financial22  14 14   32   fashion           1.51E+18  ...  urgent32  financial32  15 6     3   fashion           1.51E+18  ...   urgent3   financial3  16 12   33   fashion           1.51E+18  ...  urgent33  financial33  17 1    14   fashion           1.51E+18  ...  urgent14  financial14  18 5    23   fashion           1.51E+18  ...  urgent23  financial23  19 19   24   fashion           1.51E+18  ...  urgent24  financial24  20  [20 rows x 45 columns]",1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,7,,0.0,clean,,1,2,6,1,6,1,2,,,,,,2,1,2,2,3,,,,,,1,2,2,5,2,,,,,,2,6,6,1,2,,,,,,5,5,5,6,5,5,,,,,,5,5,5,2,5,,,,,,6,6,2,5,5,,,,,,6,6,6,5,5,,,,,,4,6,1,6,1,5,,,,,,5,1,2,2,1,,,,,,1,6,2,5,5,,,,,,2,6,6,1,5,,,,,,3,6,1,6,1,4,,,,,,3,1,2,2,1,,,,,,1,6,2,5,2,,,,,,6,6,6,1,4,,,,,,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
8,rvr4zwy7,855813C08717I96v706CF6P4,0,1,4,feed,A_Intro,2022-11-30 19:27:35.306853,1,,,0.0,,,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,8,,0.0,polluted,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
9,gcap2hq5,5f0a515ebab8d1316a5e99bd,0,4,4,questionnaire,Debriefing,2022-11-30 19:28:40.713715,1,,,0.0,"    doc community                 id  ...    urgent    financial row 19   22   fashion           1.51E+18  ...  urgent22  financial22   1 2    33   fashion           1.51E+18  ...  urgent33  financial33   2 13   25   fashion           1.51E+18  ...  urgent25  financial25   3 7    31   fashion           1.50E+18  ...  urgent31  financial31   4 12   23   fashion           1.51E+18  ...  urgent23  financial23   5 9     5   fashion           1.51E+18  ...   urgent5   financial5   6 5    21   fashion  1,50663040029e+18  ...  urgent21  financial21   7 1    15   fashion           1.51E+18  ...  urgent15  financial15   8 8     1   fashion           1.51E+18  ...   urgent1   financial1   9 16    3   fashion           1.51E+18  ...   urgent3   financial3  10 4    11   fashion           1.51E+18  ...  urgent11  financial11  11 15   35   fashion           1.51E+18  ...  urgent35  financial35  12 10   34   fashion           1.51E+18  ...  urgent34  financial34  13 0     4   fashion           1.51E+18  ...   urgent4   financial4  14 17   13   fashion           1.51E+18  ...  urgent13  financial13  15 11   32   fashion           1.51E+18  ...  urgent32  financial32  16 3     2   fashion           1.51E+18  ...   urgent2   financial2  17 6    24   fashion           1.51E+18  ...  urgent24  financial24  18 18   12   fashion           1.51E+18  ...  urgent12  financial12  19 14   14   fashion           1.51E+18  ...  urgent14  financial14  20  [20 rows x 45 columns]",1,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,9,,0.0,clean,,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,,,,,,7,7,7,7,7,7,,,,,,7,7,7,1,7,,,,,,7,5,3,7,7,,,,,,7,5,7,7,7,,,,,,1,1,1,1,1,3,,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,,,,,,1,3,1,1,1,,,,,,7,7,7,7,7,7,,,,,,7,7,7,7,7,,,,,,7,7,7,7,7,,,,,,7,7,7,7,7,,,,,,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
10,md1eaciq,60c0250196446e286c2ba6da,0,3,4,feed,C_Tweets_Eval,2022-11-30 19:29:20.383153,1,,,0.0,    doc community   id conversation_id  ...    affective    urgent    financial  row 19   10      web7  NaN             NaN  ...  affective10  urgent10  financial10    1 16   26     web13  NaN             NaN  ...  affective26  urgent26  financial26    2 5    30     web17  NaN             NaN  ...  affective30  urgent30  financial30    3 4     9      web6  NaN             NaN  ...   affective9   urgent9   financial9    4 0    40     web22  NaN             NaN  ...  affective40  urgent40  financial40    5 14    8      web5  NaN             NaN  ...   affective8   urgent8   financial8    6 12   28     web15  NaN             NaN  ...  affective28  urgent28  financial28    7 17   17      web9  NaN             NaN  ...  affective17  urgent17  financial17    8 8    18     web10  NaN             NaN  ...  affective18  urgent18  financial18    9 6    27     web14  NaN             NaN  ...  affective27  urgent27  financial27   10 3    16      web8  NaN             NaN  ...  affective16  urgent16  financial16   11 2    37     web19  NaN             NaN  ...  affective37  urgent37  financial37   12 15    7      web4  NaN             NaN  ...   affective7   urgent7   financial7   13 9    19     web11  NaN             NaN  ...  affective19  urgent19  financial19   14 11   39     web21  NaN             NaN  ...  affective39  urgent39  financial39   15 13   20     web12  NaN             NaN  ...  affective20  urgent20  financial20   16 1    29     web16  NaN             NaN  ...  affective29  urgent29  financial29   17 18    6      web3  NaN             NaN  ...   affective6   urgent6   financial6   18 7    38     web20  NaN             NaN  ...  affective38  urgent38  financial38   19 10   36     web18  NaN             NaN  ...  affective36  urgent36  financial36   20  [20 rows x 45 columns],,5n8f24zr,,,,,0,1.1,Social_media_feed,1.0,https://app.prolific.co/submissions/complete?cc=CN9RGHY7,10,,0.0,polluted,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
