id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
217298543667453952	217298543667453952	2012-06-25 18:49:44 CEST	2012-06-25	18:49:44	+0200	221392767	mcqueen	Alexander McQueen		"Black tailoring opulent ""to the point of decadence"" @ Men's SS13 #mfw   http://t.co/oVR6u9Oz"	en	[]	['http://instagr.am/p/MTdasrBZmE/']	[]	0	24	5	['mfw']	[]	https://twitter.com/McQueen/status/217298543667453952	False		0								[]				
217284023469342721	217284023469342721	2012-06-25 17:52:02 CEST	2012-06-25	17:52:02	+0200	221392767	mcqueen	Alexander McQueen		Backstage board gives a peek at the collection's pale colour palette #mfw  http://t.co/bRmHs4xi	en	[]	['http://instagr.am/p/MTWoXihZik/']	[]	0	19	8	['mfw']	[]	https://twitter.com/McQueen/status/217284023469342721	False		0								[]				
217279955086741504	217279955086741504	2012-06-25 17:35:52 CEST	2012-06-25	17:35:52	+0200	221392767	mcqueen	Alexander McQueen		Gold dragonfly embroidery on a lapel. #MFW  http://t.co/uHXoCXuG	en	[]	['http://instagr.am/p/MTVNw3hZhs/']	[]	3	29	17	['mfw']	[]	https://twitter.com/McQueen/status/217279955086741504	False		0								[]				
217276336681648128	217276336681648128	2012-06-25 17:21:30 CEST	2012-06-25	17:21:30	+0200	221392767	mcqueen	Alexander McQueen		More SS13 looks inside the Alexander McQueen presentation in Milan #MFW   http://t.co/MKR1Ux7l	en	[]	['http://instagr.am/p/MTTRvrhZgv/']	[]	1	27	13	['mfw']	[]	https://twitter.com/McQueen/status/217276336681648128	False		0								[]				
217271332449157120	217271332449157120	2012-06-25 17:01:37 CEST	2012-06-25	17:01:37	+0200	221392767	mcqueen	Alexander McQueen		Savile Row tailoring tradition is at the heart of the house of Alexander McQueen #mfw    http://t.co/MrZ0sCyo	en	[]	['http://instagr.am/p/MTRbGOhZv1/']	[]	0	27	9	['mfw']	[]	https://twitter.com/McQueen/status/217271332449157120	False		0								[]				
217267752296120323	217267752296120323	2012-06-25 16:47:23 CEST	2012-06-25	16:47:23	+0200	221392767	mcqueen	Alexander McQueen		SS13 inspiration: Male vanity. The peacock male &amp; the English gentleman....#mfw  http://t.co/ZUIGYc6i	en	[]	['http://instagr.am/p/MTPy23hZvC/']	[]	3	33	10	['mfw']	[]	https://twitter.com/McQueen/status/217267752296120323	False		0								[]				
217265816373178369	217265816373178369	2012-06-25 16:39:41 CEST	2012-06-25	16:39:41	+0200	221392767	mcqueen	Alexander McQueen		The boys enter the Alexander McQueen Men's SS13 presentation in 1st looks #MFW  http://t.co/PibQ6nEk	en	[]	['http://instagr.am/p/MTOyXVBZus/']	[]	1	34	7	['mfw']	[]	https://twitter.com/McQueen/status/217265816373178369	False		0								[]				
217249782786301952	217249782786301952	2012-06-25 15:35:59 CEST	2012-06-25	15:35:59	+0200	221392767	mcqueen	Alexander McQueen		A sweeping staircase as you enter the Men's SS13 presentation space #mfw   http://t.co/aap0DNob	en	[]	['http://instagr.am/p/MTHn11hZr0/']	[]	2	12	3	['mfw']	[]	https://twitter.com/McQueen/status/217249782786301952	False		0								[]				
217235526435078144	217235526435078144	2012-06-25 14:39:20 CEST	2012-06-25	14:39:20	+0200	221392767	mcqueen	Alexander McQueen		Arriving at the Alexander McQueen SS13 presentation venue #MFW   http://t.co/XC6c4VRY	en	[]	['http://instagr.am/p/MTA8vPBZpk/']	[]	2	33	11	['mfw']	[]	https://twitter.com/McQueen/status/217235526435078144	False		0								[]				
217196064917291008	217196064917291008	2012-06-25 12:02:31 CEST	2012-06-25	12:02:31	+0200	221392767	mcqueen	Alexander McQueen		Today Alexander McQueen presents Men's SS13 at a small &amp; intimate presentation in Milan. Follow us @WorldMcQueen #MFW	en	[]	[]	[]	2	47	6	['mfw']	[]	https://twitter.com/McQueen/status/217196064917291008	False		0								[]				
216942543965921283	216942543965921283	2012-06-24 19:15:07 CEST	2012-06-24	19:15:07	+0200	221392767	mcqueen	Alexander McQueen		The Alexander McQueen Men's SS13 presentation takes place tomorrow in Milan. Stay tuned for peeks behind the scenes #MFW	en	[]	[]	[]	1	53	11	['mfw']	[]	https://twitter.com/McQueen/status/216942543965921283	False		0								[]				
216580161854898177	216580161854898177	2012-06-23 19:15:09 CEST	2012-06-23	19:15:09	+0200	221392767	mcqueen	Alexander McQueen		We are very excited for #MFW! As we prepare for our Alexander McQueen Men's SS13 presentation on Monday revisit AW12  http://t.co/e7yOgCJO	en	[]	['http://bit.ly/LaOOWB']	[]	2	37	9	['mfw']	[]	https://twitter.com/McQueen/status/216580161854898177	False		0								[]				
158962893499535360	158962893499535360	2012-01-16 18:24:41 CET	2012-01-16	18:24:41	+0100	221392767	mcqueen	Alexander McQueen		RT @GQRecommends: Checking out the details at @WorldMcQueen - JM #MFW  http://t.co/UoWKEmfd	en	[{'screen_name': 'gqrecommends', 'name': 'gq recommends', 'id': '17505100'}]	[]	['https://pbs.twimg.com/media/AjSw6RgCEAASkM_.jpg']	0	6	4	['mfw']	[]	https://twitter.com/McQueen/status/158962893499535360	False		1	https://pbs.twimg.com/media/AjSw6RgCEAASkM_.jpg							[]				
158948779121311744	158948779121311744	2012-01-16 17:28:36 CET	2012-01-16	17:28:36	+0100	221392767	mcqueen	Alexander McQueen		Inside the presentation as seen from backstage  http://t.co/WmqX7OvZ #MFW #AlexanderMcQueen	en	[]	['http://ow.ly/i/pUU6']	[]	0	10	4	['mfw', 'alexandermcqueen']	[]	https://twitter.com/McQueen/status/158948779121311744	False		0								[]				
