"","participant_code","item_tweet","rating","item","tweet","source"
"1","jx1hoqs5","affective1",4,"affective","1","brands"
"2","6yf74bre","affective1",NA,"affective","1","brands"
"3","ogdohkf8","affective1",3,"affective","1","brands"
"4","9was9jwj","affective1",NA,"affective","1","brands"
"5","g0v9p7we","affective1",1,"affective","1","brands"
"6","27uhtyxu","affective1",NA,"affective","1","brands"
"7","a89bdfnw","affective1",6,"affective","1","brands"
"8","gcap2hq5","affective1",1,"affective","1","brands"
"9","62sgf1q6","affective1",4,"affective","1","brands"
"10","agnsjv3u","affective1",NA,"affective","1","brands"
"11","z61pj3qh","affective1",NA,"affective","1","brands"
"12","i9lsmrra","affective1",3,"affective","1","brands"
"13","eh8427qe","affective1",NA,"affective","1","brands"
"14","hf2jc55w","affective1",4,"affective","1","brands"
"15","i6owifbh","affective1",NA,"affective","1","brands"
"16","8039ho03","affective1",3,"affective","1","brands"
"17","p8y66am4","affective1",NA,"affective","1","brands"
"18","fpejknpw","affective1",3,"affective","1","brands"
"19","crf9ios0","affective1",NA,"affective","1","brands"
"20","lrkhjbvs","affective1",5,"affective","1","brands"
"21","j80ligbl","affective1",NA,"affective","1","brands"
"22","yho59dh1","affective1",5,"affective","1","brands"
"23","n7ewy2cs","affective1",NA,"affective","1","brands"
"24","r02olzq0","affective1",5,"affective","1","brands"
"25","qq5poky6","affective1",NA,"affective","1","brands"
"26","ufnwpmau","affective1",2,"affective","1","brands"
"27","jr301tge","affective1",NA,"affective","1","brands"
"28","6vr1fp3w","affective1",5,"affective","1","brands"
"29","9i4oj2r2","affective1",NA,"affective","1","brands"
"30","1bkh0km2","affective1",6,"affective","1","brands"
"31","h663junz","affective1",3,"affective","1","brands"
"32","gem9aoqj","affective1",NA,"affective","1","brands"
"33","1zvtzuqk","affective1",3,"affective","1","brands"
"34","evx0zc3a","affective1",NA,"affective","1","brands"
"35","me2ii5mz","affective1",2,"affective","1","brands"
"36","qva57gbb","affective1",NA,"affective","1","brands"
"37","toaoocz2","affective1",1,"affective","1","brands"
"38","nv1uy98b","affective1",1,"affective","1","brands"
"39","9h4ceqz2","affective1",NA,"affective","1","brands"
"40","n0wp5zd8","affective1",7,"affective","1","brands"
"41","x8ux5i6y","affective1",NA,"affective","1","brands"
"42","qoyax9r0","affective1",4,"affective","1","brands"
"43","xm509tw1","affective1",NA,"affective","1","brands"
"44","gqmkeow0","affective1",4,"affective","1","brands"
