Datetime,Conversation ID,Tweet ID,Text,Likes,Retweets,Replies,Language,Media,Username,User Description,User Image
2022-03-01 21:19:42+00:00,1498769974755688451,1498769974755688451,"📆Mark your calendars📆 
We are launching 2 exclusive #NFT projects from notable #fashion #photographers (March 24th -27th) at Metaverse Fashion Week in (#Decentraland).
Turn on Notifications 📱#Discord Opens Soon!
#mvfw #fashionsweek #NFTs #NFTCommunity #nftcollectors https://t.co/zaRNY6Nf6O",25,13,6,en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMyzV_sVcAANcFU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMyzV_sVcAANcFU?format=jpg&name=large')]",xpozd_io,Fashion | Beauty | Portrait NFT Photographers and Filmmakers - Now accepting submissions for upcoming drops and marketplace features. Details info.xpozd.io,https://pbs.twimg.com/profile_images/1498352215819317248/4WNjuS0a_normal.jpg
2022-03-01 18:32:46+00:00,1498727966871724033,1498727966871724033,"Digital #fashion has gone from a niche to an emerging industry. As technology &amp; knowledge improve, so does the data-backed understanding of what people want to buy and wear virtually.
 #mvfw #decentraland #metaverse https://t.co/gCsMcjwwoj",4,2,0,en,,xpozd_io,Fashion | Beauty | Portrait NFT Photographers and Filmmakers - Now accepting submissions for upcoming drops and marketplace features. Details info.xpozd.io,https://pbs.twimg.com/profile_images/1498352215819317248/4WNjuS0a_normal.jpg
2022-03-01 18:19:29+00:00,1498724621859921922,1498724621859921922,"❇️🟩🪀 big things coming… we dropped a #MajorAnnouncement in our discord server last night!

join our community of #web3 creators and collectors to find out exclusive details outlining our first highly-anticipated collaboration 🪀🟩❇️ #MVFW

https://t.co/4A5h4tT8Ir https://t.co/naZiZVGSoU",8,5,0,en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMyKGS2WUAEA7sj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMyKGS2WUAEA7sj?format=jpg&name=large')]",dcaveofficial,❇️Defining digital culture.❇️ discord.gg/dcave ⌚️MINTING NOW,https://pbs.twimg.com/profile_images/1216788569538297856/LQxIKEs4_normal.jpg
2022-03-01 15:42:37+00:00,1498685144043069443,1498685144043069443,"Do you want to know the latest news about how #Fashion &amp; #Luxury brands are approaching the #Metaverse? 

Are you ready for the first Metaverse Fashion Week starting on March 24th? 
Read our article: https://t.co/NB6n2wbLGD 

#MVFW #Fashionweek #VR #DigitalTwins  #3D #NFT https://t.co/eTHch7q44M",3,0,1,en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMxl7isWUAs8J7O?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FMxl7isWUAs8J7O?format=jpg&name=large')]",Invrsion,Invrsion is your partner in enhancing the shopping experience through Full Reality,https://pbs.twimg.com/profile_images/1543895398326177792/9nZATGwy_normal.jpg
2022-03-01 13:36:37+00:00,1498653435113181190,1498653435113181190,"First-ever Metaverse Fashion Week (MVFW). Pop-up Metaverse shops. Afterparties in Decentraland’s new Luxury Fashion District. March 24th-27th 🤯

@decentraland #nft #NFTs
#NFTCommunity #SkinnyBoyKraze #Fashionista
https://t.co/HFb7SK5ECF",1,0,0,en,,VladCaye,,https://pbs.twimg.com/profile_images/1517248218702221312/AzT1wR-8_normal.jpg
2022-03-01 13:05:40+00:00,1497508996122660864,1498645645506146308,@BosonProtocol Looking forward to seeing what you guys showcase for #mvfw,2,0,1,en,,xpozd_io,Fashion | Beauty | Portrait NFT Photographers and Filmmakers - Now accepting submissions for upcoming drops and marketplace features. Details info.xpozd.io,https://pbs.twimg.com/profile_images/1498352215819317248/4WNjuS0a_normal.jpg
2022-03-01 11:04:40+00:00,1498615197014974465,1498615197014974465,"😱😱Have you ever created your own @decentraland
wearable? Submit it for a chance to win a LAND or MANA in celebration of Metaverse Fashion Week 2022. #MVFW
Entries close March 4.👈👈
#Metaverse #NFTs #decentralized https://t.co/lfBR5UL6Vq",1,0,0,en,"[Photo(previewUrl='https://pbs.twimg.com/media/FMwmTUBUYAEWipH?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FMwmTUBUYAEWipH?format=png&name=large')]",MetaverseKrypto,"All Things #Metaverse

t.me/metaversekrypt…",https://pbs.twimg.com/profile_images/1471683268785618945/KosA_Sgm_normal.jpg
2022-03-01 10:48:23+00:00,1498611097863331844,1498611097863331844,"#Decentraland will organize the world’s first #metaverse fashion week (#MVFW) to showcase artificial intelligence fashion and wearable tech in the form of #NFTs.👚👕🥼🦺
The event will be free for everyone, while having the chance to buy digital goods from the exclusive stores😉",5,2,2,en,,NanoLabsLtd,"Nano Labs is a leading fabless IC design company,which owns Nano,iPollo,iPolloverse. Power of metaverse.
Links:solo.to/nanolabs",https://pbs.twimg.com/profile_images/1546679780317495296/PKJE79CZ_normal.jpg
2022-03-01 08:23:03+00:00,1498574523850964994,1498574523850964994,"Oooo, #MVFW contest? We are in! @ParcelNFT | @decentraland | @MetaPartyDCL 

We are definitely entering our new wearable MD Rebirth! 😬☔️💜

Introducing MD REBIRTH - coming to a cat walk near you 🧬💧

🚨Starting March 24 2022

#MetaverseFashionWeek2022 https://t.co/l7Rk2rmhRu",34,1,6,en,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1498574355093147649/pu/img/l_-SZVS-S8Fl4HBt.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1498574355093147649/pu/vid/320x406/cJWGrwICYdJfAywJ.mp4?tag=12', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1498574355093147649/pu/vid/480x608/l10kGqKqaVIv-sPX.mp4?tag=12', bitrate=950000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1498574355093147649/pu/pl/92jGlMjWQyJqXf5z.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1498574355093147649/pu/vid/720x914/nE-ALtgEI73t7mvr.mp4?tag=12', bitrate=2176000)], duration=42.019, views=405)]",MetaDripMD,🧬Digital Agency | Quantum Entanglement starts now; bridging the gap between the physical and the meta. The future is now. | Verified Creator @RTFKTCreators,https://pbs.twimg.com/profile_images/1588030519433912321/2ZxY1jVI_normal.jpg
2022-02-28 21:49:11+00:00,1498415005758328838,1498415005758328838,"Attention❗️ @ParcelNFT is celebrating DCL wearables creators at #MVFW!

Enter your wearable design for a chance to WIN 1 LAND + 100 MANA!

Competition details: https://t.co/F8IjqL9sLx https://t.co/PGhouiEN6F",236,60,222,en,,decentraland,"Explore the first decentralized metaverse that is built, governed, and owned by its users—discover different districts, meet people, party at events, and more!",https://pbs.twimg.com/profile_images/1597286054150692866/bQsP8fFn_normal.jpg
