Datetime,Conversation ID,Tweet ID,Text,Likes,Retweets,Replies,Media,Username,User Description,User Image
2022-04-26 19:30:31+00:00,1519036219644014592,1519036219644014592,"Discover #mvfw Street Style in #Decentraland 👠👚🖥📡 

Our very own @LuckyGa74882673 takes us on a curated journey of fun and unique #VR ready fashion with some of the coolest avatars. Check out our dedicated thread now live on our feed. 
#fashionotes https://t.co/CtydumdjOK",1,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FRSzZGSVUAAeiJk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FRSzZGSVUAAeiJk?format=jpg&name=large')]",fashionotes,𝔅𝔲𝔦𝔩𝔡𝔦𝔫𝔤 𝔱𝔥𝔢 𝔉𝔲𝔱𝔲𝔯𝔢 𝔬𝔣 𝔉𝔞𝔰𝔥𝔦𝔬𝔫 𝔖𝔦𝔫𝔠𝔢 𝔐𝔐𝔛 🔮  𝓓𝓮𝓬𝓮𝓷𝓽𝓻𝓪𝓵𝓲𝔃𝓮𝓭 𝓕𝓪𝓼𝓱𝓲𝓸𝓷 𝓘𝓬𝓸𝓷 💖💧✨,https://pbs.twimg.com/profile_images/1496959906980810760/AjWJalzB_normal.jpg
2022-04-26 18:53:07+00:00,1519026791364456453,1519026805620965376,"Below, are some of the most impressive street styles looks spotted at MVFW. https://t.co/aQu931Aukq",1,0,1,"[Photo(previewUrl='https://pbs.twimg.com/media/FRSm1hwVEAAtitM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FRSm1hwVEAAtitM?format=jpg&name=large')]",fashionotes,𝔅𝔲𝔦𝔩𝔡𝔦𝔫𝔤 𝔱𝔥𝔢 𝔉𝔲𝔱𝔲𝔯𝔢 𝔬𝔣 𝔉𝔞𝔰𝔥𝔦𝔬𝔫 𝔖𝔦𝔫𝔠𝔢 𝔐𝔐𝔛 🔮  𝓓𝓮𝓬𝓮𝓷𝓽𝓻𝓪𝓵𝓲𝔃𝓮𝓭 𝓕𝓪𝓼𝓱𝓲𝓸𝓷 𝓘𝓬𝓸𝓷 💖💧✨,https://pbs.twimg.com/profile_images/1496959906980810760/AjWJalzB_normal.jpg
2022-04-26 18:53:04+00:00,1519026791364456453,1519026792991916032,"If you missed MVFW, there is no need to worry because we have you covered. While the first-ever VR fashion show was happening in the metaverse, there was another street style fashion show in the streets of Decentraland.",1,0,1,,fashionotes,𝔅𝔲𝔦𝔩𝔡𝔦𝔫𝔤 𝔱𝔥𝔢 𝔉𝔲𝔱𝔲𝔯𝔢 𝔬𝔣 𝔉𝔞𝔰𝔥𝔦𝔬𝔫 𝔖𝔦𝔫𝔠𝔢 𝔐𝔐𝔛 🔮  𝓓𝓮𝓬𝓮𝓷𝓽𝓻𝓪𝓵𝓲𝔃𝓮𝓭 𝓕𝓪𝓼𝓱𝓲𝓸𝓷 𝓘𝓬𝓸𝓷 💖💧✨,https://pbs.twimg.com/profile_images/1496959906980810760/AjWJalzB_normal.jpg
2022-04-26 18:53:03+00:00,1519026791364456453,1519026791364456453,"Let's chat about #MVFW Street Style 👡🧥🥻in #Decentraland 
📸 David Cash https://t.co/y65ERlRL63",1,1,1,"[Photo(previewUrl='https://pbs.twimg.com/media/FRSlvBnUcAAyXNT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FRSlvBnUcAAyXNT?format=jpg&name=large')]",fashionotes,𝔅𝔲𝔦𝔩𝔡𝔦𝔫𝔤 𝔱𝔥𝔢 𝔉𝔲𝔱𝔲𝔯𝔢 𝔬𝔣 𝔉𝔞𝔰𝔥𝔦𝔬𝔫 𝔖𝔦𝔫𝔠𝔢 𝔐𝔐𝔛 🔮  𝓓𝓮𝓬𝓮𝓷𝓽𝓻𝓪𝓵𝓲𝔃𝓮𝓭 𝓕𝓪𝓼𝓱𝓲𝓸𝓷 𝓘𝓬𝓸𝓷 💖💧✨,https://pbs.twimg.com/profile_images/1496959906980810760/AjWJalzB_normal.jpg
2022-04-26 17:50:33+00:00,1519011061550264321,1519011061550264321,"Did someone say metaverse catwalk, with actual cats?

#metaversefashionweek #mvfw
https://t.co/4dflCyrYAQ",0,0,0,,wise_not_wise,"The Future Think Tank | Arts & Entertainment 
#wisenotwise | May 19-20 2022  | House of Music & Urban Spree | Berlin
jemi.so/wisenotwise",https://pbs.twimg.com/profile_images/1491069164974452737/Q_QB483W_normal.jpg
2022-04-26 15:22:12+00:00,1518808366650433536,1518973726129152000,"@Agness_Cuck KAWAII!! Isn't this a @ShopCider dress? If so - you could buy it IRL too w/ $ETH via @BosonProtocol during MVFW. Not sure if it's still live, but I would love to know how the experience is of purchasing phygital! I was out of town that weekend so missed out majorly!",1,0,0,,JewDontKnow,It's all in the mind you know... 🧠💜💡✨💫 | #decentraland #web3 #licensing #brands #consumerproducts #retail #fashion #music #nfts #cats #pilates #technology,https://pbs.twimg.com/profile_images/1540451092135153664/HzK49sZ2_normal.jpg
2022-04-26 12:20:17+00:00,1518927948048482304,1518927948048482304,flashback from MVFW afterparty @decentraland. check out the gallery from the ROLE PLAY drop in the comments https://t.co/R6wrwVd7J1,9,1,5,"[Photo(previewUrl='https://pbs.twimg.com/media/FRRQ6aoWUAIlOuB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FRRQ6aoWUAIlOuB?format=jpg&name=large')]",tribute_brand,FOLLOW $PUNKY HERE: twitter.com/spunky_feed MINT PUNK HERE: tribute-brand.com,https://pbs.twimg.com/profile_images/1578307330491531265/-YtvwlP-_normal.jpg
2022-04-25 20:17:37+00:00,1518645672282660867,1518685685087186949,@iamckbubbles @wishervodka The emote has already been created. It was given away at MVFW 2022.,1,0,1,,AwedJob,he/him | Reparations Now! | SHEW B4 WAGMI | I'll show you the wonders of Decentraland |,https://pbs.twimg.com/profile_images/1599480391513112576/ADlquhzh_normal.png
2022-04-25 13:09:13+00:00,1518577872264437767,1518577872264437767,Yahoo recently launched its own virtual exhibition space in Decentraland as part of the first “Metaverse Fashion Week” (MVFW).  $WIMI https://t.co/i7imXcayTb,0,0,0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FRMShIpXwAI0ADL.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/FRMShIpXwAI0ADL.mp4', bitrate=0)])]",Jaywalk350824,"Don’t worry it,we are going long",https://pbs.twimg.com/profile_images/1435807178582003713/46WJT4tQ_normal.jpg
2022-04-23 13:10:12+00:00,1517779665267613696,1517853343590273025,@LoyaltyDCL @GoucyD @decentraland @Deadfellaz @giuseppezanotti @themetakey @metazooxyz Love it! @NFTCryptoChicks yellow CC shades created for MVFW💛💛💛,1,0,1,,NFTCreatortours,"Web3 strategy for fashion & beauty brands✨Producer @CULTldn✨ WoW, BB, Key Hodler, Wild✨ I might like cars a little @MetaFashionH (DCL -119,81)",https://pbs.twimg.com/profile_images/1593830088805531648/_AFr44qS_normal.jpg
