"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@actadinews","Jorge Nascimento 🇧🇷🇵🇹","The first-ever Metaverse Fashion Week: Digital fashion is here to stay - Crypto Breaking News #ActaDi https://t.co/tFDqoaiBmD","0","0","0","1649558040000","10 Apr 2022","actadinews/status/1512982197959020547","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","ActaDi"
"@enilev","Eveline Ruehlin","I went to #fashion week in the #metaverse By Leah Dolan #MVFW #digitalfashion #NFT #NFTs #Crypto #VR #AR #XR #blockchain #Decentraland @RLDI_Lamy @BetaMoroney @labordeolivier @chidambara09 @tobiaskintzel @Khulood_Almani @gerald_bader @PawlowskiMario https://t.co/ls6wpWVOhz","6","17","18","1648716907000","31 Mar 2022","enilev/status/1509454229559250947","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","fashion | metaverse | MVFW | digitalfashion | NFT | NFTs | Crypto | VR | AR | XR | blockchain | Decentraland"
"@NewsDopamine","Dopamine News","The first-ever Metaverse Fashion Week: Digital fashion is here to stay https://t.co/FOZvFp6zOL","0","0","0","1649558246000","10 Apr 2022","NewsDopamine/status/1512983060391813131","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@bit_xchange","Bit-Xchange News","Charles & Keith to accept cryptocurrency as a payment option to its eCommerce site, ahead of the brand’s participation in the Metaverse Fashion Week hosted by Decentraland. https://t.co/bxVzlZExse #CryptoNews #Bitcoin #Charles&Keith #Metaverse #cryptocurrecy #Decentraland","1","0","0","1648584000000","29 Mar 2022","bit_xchange/status/1508896777428402176","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","CryptoNews | Bitcoin | Charles | Metaverse | cryptocurrecy | Decentraland"
"@nbmrjun","https://lenster.xyz/u/nbmrjun.lens","#dzzit and #MVFW https://t.co/ghPNE9xenA","1","0","1","1649343967000","07 Apr 2022","nbmrjun/status/1512084309104295940","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","dzzit | MVFW"
"@skovach","Stefan Kovach 🇬🇧 🪙 ♦️🕹","Metaverse Fashion Week is going to end with a bang tomorrow night with the immersive AUROBOROS X GRIMES experience. Whether you’re a seasoned party goer or a metaverse virgin it’s going to be a night you’ll want the POAP to prove you were there from. Prou…https://t.co/hac80GaPTb","0","0","0","1648328226000","26 Mar 2022","skovach/status/1507823984540278788","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@lpaydat","Lpaydat","https://t.co/yNNGagsvXe #MVFW #DAZZLE","0","0","0","1649250549000","06 Apr 2022","lpaydat/status/1511692486615642116","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | DAZZLE"
"@mei1681","MeiZi （💙，🧡）(🌸, 🌿)🌘","#MVFW #dzzit https://t.co/dzshedUER2","0","0","0","1649245992000","06 Apr 2022","mei1681/status/1511673375206572032","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
"@SebX0018","Seb X0018","Nifty News: Luxury brands join Decentraland's Metaverse Fashion Week From Dolce & Gabanna to Giuseppe Zanotti, major fashion companies took to Ethereum-run Decentraland to interact with new consumers in this virtual experiment. This past weekend, Decent https://t.co/WITZDnIOE4","0","0","0","1648528584000","29 Mar 2022","SebX0018/status/1508664347614187524","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@WillStern_","Will Stern","@StuSim @decentraland You must have missed Metaverse Fashion Week!","0","0","1","1650502063000","21 Apr 2022","WillStern_/status/1516941716539990016","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
