id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1517404180419293184	1517404142171344897	2022-04-22 09:25:23 CEST	2022-04-22	09:25:23	+0200	175445113	fashionotes	ΛVΛ XYZ		We expect to see fashion make a full crossover into the metaverse as more brands leverage this new digital space. Did you tune into  #MVFW ? if so sound off below and share your favorite NFT fashion below! ✍️by @LuckyGa74882673  #Metaverse #Wearables #NFT	en	[]	[]	[]	0	1	2	['mvfw', 'metaverse', 'wearables', 'nft']	[]	https://twitter.com/fashionotes/status/1517404180419293184	False		0								[]				
1517404177940459520	1517404142171344897	2022-04-22 09:25:22 CEST	2022-04-22	09:25:22	+0200	175445113	fashionotes	ΛVΛ XYZ		However, we see the success of this first Metaverse Fashion week as a sign that fashion just may be ready to go fully digital and explore wearables.	en	[]	[]	[]	1	1	1	[]	[]	https://twitter.com/fashionotes/status/1517404177940459520	False		0								[]				
1517404175830761473	1517404142171344897	2022-04-22 09:25:22 CEST	2022-04-22	09:25:22	+0200	175445113	fashionotes	ΛVΛ XYZ		While Metaverse Fashion week took off without a hitch, there were some small tech issues mainly with software which caused some accessibility issues for those attending.  https://t.co/UulBpzRaHW	en	[]	[]	['https://pbs.twimg.com/media/FQ7lrz_VgAAuqbb.jpg']	1	1	1	[]	[]	https://twitter.com/fashionotes/status/1517404175830761473	False		1	https://pbs.twimg.com/media/FQ7lrz_VgAAuqbb.jpg							[]				
1517404166997618688	1517404142171344897	2022-04-22 09:25:20 CEST	2022-04-22	09:25:20	+0200	175445113	fashionotes	ΛVΛ XYZ		In addition to digital wearables on 3D avatars, MVFW showcased pop-ups from retailers selling NFT digiphysical items. Like, Privé Porter, who had its luxury resale pop-up shop in Decentraland’s Threedium Plaza.  https://t.co/hNz1rzGXEu	en	[]	[]	['https://pbs.twimg.com/media/FQ7lUkbVgAA2gwR.jpg']	1	1	1	[]	[]	https://twitter.com/fashionotes/status/1517404166997618688	False		1	https://pbs.twimg.com/media/FQ7lUkbVgAA2gwR.jpg							[]				
1517404162429906945	1517404142171344897	2022-04-22 09:25:18 CEST	2022-04-22	09:25:18	+0200	175445113	fashionotes	ΛVΛ XYZ		Another participant in the first digital fashion week, German fashion designer Philipp Plein also participated in this year's MVFW and showcased his NFT collection in the designs house newly acquired $1.4 million Plein Plaza, which is a plot of land in the Decentraland metaverse.  https://t.co/7ROKk3plQv	en	[]	[]	['https://pbs.twimg.com/media/FQ7lIsLVUAApcvh.jpg']	1	1	1	[]	[]	https://twitter.com/fashionotes/status/1517404162429906945	False		1	https://pbs.twimg.com/media/FQ7lIsLVUAApcvh.jpg							[]				
1517404151533121537	1517404142171344897	2022-04-22 09:25:16 CEST	2022-04-22	09:25:16	+0200	175445113	fashionotes	ΛVΛ XYZ		Unlike any other fashion week, #MVFW  included brands and designers who displayed wearable nonfungible tokens (NFTs) on 3D avatars. While the idea of digital fashion is not new, fashion designers praised MVFW as one of the most exciting ways for brands to engage with consumers.  https://t.co/tkiLmwNBvD	en	[]	[]	['https://pbs.twimg.com/media/FQ7mJSvUYAEcF1z.jpg']	1	1	1	['mvfw']	[]	https://twitter.com/fashionotes/status/1517404151533121537	False		1	https://pbs.twimg.com/media/FQ7mJSvUYAEcF1z.jpg							[]				
1517404148047630336	1517404142171344897	2022-04-22 09:25:15 CEST	2022-04-22	09:25:15	+0200	175445113	fashionotes	ΛVΛ XYZ		#MVFW hosted artists and designers including fashion giants like Tommy Hilfiger, Estée Lauder, Philipp Plein, Selfridges and Dolce &amp; Gabbana.  https://t.co/1TG6aop7kE	en	[]	[]	['https://pbs.twimg.com/media/FQ7kWaeVsAE4CoI.jpg']	1	1	1	['mvfw']	[]	https://twitter.com/fashionotes/status/1517404148047630336	False		1	https://pbs.twimg.com/media/FQ7kWaeVsAE4CoI.jpg							[]				
1517404144042004481	1517404142171344897	2022-04-22 09:25:14 CEST	2022-04-22	09:25:14	+0200	175445113	fashionotes	ΛVΛ XYZ		Metaverse Fashion Week (MVFW) a completely virtual experience just wrapped up and we want to chat about some of the highlights. The digital event took place in Decentraland; a decentralized virtual social platform on the Ethereum blockchain.	en	[]	[]	[]	1	1	1	[]	[]	https://twitter.com/fashionotes/status/1517404144042004481	False		0								[]				
1517404142171344897	1517404142171344897	2022-04-22 09:25:14 CEST	2022-04-22	09:25:14	+0200	175445113	fashionotes	ΛVΛ XYZ		FN #MVFW recap: Wearables and NFTs in Decentraland  https://t.co/7yEYsU4lm1	en	[]	[]	['https://pbs.twimg.com/media/FQ7mEjgVsAAqdrr.jpg']	2	1	1	['mvfw']	[]	https://twitter.com/fashionotes/status/1517404142171344897	False		1	https://pbs.twimg.com/media/FQ7mEjgVsAAqdrr.jpg							[]				
1512365783094943750	1512365783094943750	2022-04-08 11:44:35 CEST	2022-04-08	11:44:35	+0200	175445113	fashionotes	ΛVΛ XYZ		Coming soon! #MVFW #DolceGabbana #decentralized #decentralizedland #nft #Wearables  https://t.co/9ugkEaIbqk	en	[]	[]	['https://pbs.twimg.com/media/FP0AqNeVIAIPcv7.jpg', 'https://pbs.twimg.com/media/FP0AqZWVIAMwl-J.jpg', 'https://pbs.twimg.com/media/FP0AqkBVkAA77i-.jpg']	2	1	4	['mvfw', 'dolcegabbana', 'decentralized', 'decentralizedland', 'nft', 'wearables']	[]	https://twitter.com/fashionotes/status/1512365783094943750	False		1	https://pbs.twimg.com/media/FP0AqNeVIAIPcv7.jpg							[]				
