id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1569793162830385152	1569793162830385152	2022-09-13 23:00:30 CEST	2022-09-13	23:00:30	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Discover our exclusive multiverse Fall '22 fashion show within #TommyPlay on #Roblox, starring @superplastic @guggimon, @janky, and @therealdayzee in #TommyHilfigerXRichardQuinn. #TommyHilfiger #NYFW #Superplastic  https://t.co/zvbDESUBsy	en	[{'screen_name': 'superplastic', 'name': 'superplastic', 'id': '930159624178864129'}, {'screen_name': 'guggimon', 'name': 'guggimon', 'id': '1101502446994628614'}, {'screen_name': 'janky', 'name': 'janky', 'id': '1006961462252843008'}, {'screen_name': 'therealdayzee', 'name': 'dayzee', 'id': '1458897978735923201'}]	[]	[]	10	20	94	['tommyplay', 'roblox', 'tommyhilfigerxrichardquinn', 'tommyhilfiger', 'nyfw', 'superplastic']	[]	https://twitter.com/TommyHilfiger/status/1569793162830385152	False		1	https://pbs.twimg.com/amplify_video_thumb/1569793055133257731/img/eSfgG-gwekmTQBCo.jpg							[]				
1569732713753583617	1569732713753583617	2022-09-13 19:00:17 CEST	2022-09-13	19:00:17	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Relive the Tommy Factory Fall ‘22 Fashion Show. From start to finish, immerse yourself in this seasons Warhol-inspired experience and discover all the looks. Shoppable now at  https://t.co/vfQ58SG6mx. #TommyHilfiger #NYFW  https://t.co/1E4cDcTe96	en	[]	['http://tom.my/6010MuZin']	[]	4	38	200	['tommyhilfiger', 'nyfw']	[]	https://twitter.com/TommyHilfiger/status/1569732713753583617	False		1	https://pbs.twimg.com/amplify_video_thumb/1569732644870447105/img/8w3nISfWQ9zeUGzX.jpg							[]				
1569444584815738880	1569444584815738880	2022-09-12 23:55:22 CEST	2022-09-12	23:55:22	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Tommy Factory: a front row view. Live from #NYFW showing #TommyHilfiger Fall ‘22 collection. Shop the runway at  https://t.co/OYdkwdpB18.  https://t.co/WcRmj9NYyf	en	[]	['http://tom.my/6010MPASI']	[]	1	11	66	['nyfw', 'tommyhilfiger']	[]	https://twitter.com/TommyHilfiger/status/1569444584815738880	False		1	https://pbs.twimg.com/amplify_video_thumb/1569444509460713485/img/ndIkX28bBP74ya2u.jpg							[]				
1569430990376022016	1569430990376022016	2022-09-12 23:01:21 CEST	2022-09-12	23:01:21	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Straight from #NYFW, a blend of classic and new that is inspired by the archives arrives. Discover the new #THMonogram collection now at  https://t.co/29k5mR2VxT. #TommyHilfiger  https://t.co/Qeb7KW8xHm	en	[]	['http://tom.my/6019MPfPW']	[]	1	9	54	['nyfw', 'thmonogram', 'tommyhilfiger']	[]	https://twitter.com/TommyHilfiger/status/1569430990376022016	False		1	https://pbs.twimg.com/amplify_video_thumb/1569430915532587008/img/j0HDtL50Nj0iVdk_.jpg							[]				
1569355174866522116	1569355174866522116	2022-09-12 18:00:05 CEST	2022-09-12	18:00:05	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Serving looks, #KateMoss and @kourtneykardash spotted front row at Tommy Factory #TommyHilfiger #NYFW  https://t.co/D2QKE7qO4c	en	[{'screen_name': 'kourtneykardash', 'name': 'kourtney kardashian', 'id': '23617610'}]	[]	['https://pbs.twimg.com/media/Fcd4NguWQAg1yUZ.jpg']	2	10	111	['katemoss', 'tommyhilfiger', 'nyfw']	[]	https://twitter.com/TommyHilfiger/status/1569355174866522116	False		1	https://pbs.twimg.com/media/Fcd4NguWQAg1yUZ.jpg							[]				
1569347612418916352	1569347612418916352	2022-09-12 17:30:02 CEST	2022-09-12	17:30:02	+0200	30180137	tommyhilfiger	Tommy Hilfiger		.@kourtneykardash and @travisbarker owning the FROW at Tommy Factory #TommyHilfiger #NYFW #KourtneyKardashian #TravisBarker  https://t.co/BusdKi8kks	en	[{'screen_name': 'kourtneykardash', 'name': 'kourtney kardashian', 'id': '23617610'}, {'screen_name': 'travisbarker', 'name': 'travis barker', 'id': '21705931'}]	[]	['https://pbs.twimg.com/media/FcdxVVXWIAASk-U.jpg']	1	10	116	['tommyhilfiger', 'nyfw', 'kourtneykardashian', 'travisbarker']	[]	https://twitter.com/TommyHilfiger/status/1569347612418916352	False		1	https://pbs.twimg.com/media/FcdxVVXWIAASk-U.jpg							[]				
1569344747952635904	1569344747952635904	2022-09-12 17:18:39 CEST	2022-09-12	17:18:39	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Star Studded. @johnlegend and @shawnmendes sit front row at Tommy Factory #NYFW #TommyHilfiger #ShawnMendes #Johnlegend  https://t.co/ObamNKX4dn	en	[{'screen_name': 'johnlegend', 'name': 'john legend', 'id': '18228898'}, {'screen_name': 'shawnmendes', 'name': 'shawn mendes', 'id': '379408088'}]	[]	['https://pbs.twimg.com/media/FcduujIXEAAeFiO.jpg']	24	215	1252	['nyfw', 'tommyhilfiger', 'shawnmendes', 'johnlegend']	[]	https://twitter.com/TommyHilfiger/status/1569344747952635904	False		1	https://pbs.twimg.com/media/FcduujIXEAAeFiO.jpg							[]				
1569175459258155009	1569175459258155009	2022-09-12 06:05:58 CEST	2022-09-12	06:05:58	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Making an entrance at Tommy Factory. #TommyHilfiger #NYFW   @ShawnMendes @kourtneykardash @travisbarker @JonBatiste @ARamosofficial @noahbeck  https://t.co/LqeMSltv5C	en	[{'screen_name': 'shawnmendes', 'name': 'shawn mendes', 'id': '379408088'}, {'screen_name': 'kourtneykardash', 'name': 'kourtney kardashian', 'id': '23617610'}, {'screen_name': 'travisbarker', 'name': 'travis barker', 'id': '21705931'}, {'screen_name': 'jonbatiste', 'name': 'jon batiste', 'id': '59839834'}, {'screen_name': 'aramosofficial', 'name': 'anthony ramos', 'id': '3376066540'}, {'screen_name': 'noahbeck', 'name': 'noah beck', 'id': '4670292962'}]	[]	[]	35	205	1210	['tommyhilfiger', 'nyfw']	[]	https://twitter.com/TommyHilfiger/status/1569175459258155009	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1569175362541686785/pu/img/rbU8KNcnCa0JPqjq.jpg							[]				
1569107649693683712	1569107649693683712	2022-09-12 01:36:30 CEST	2022-09-12	01:36:30	+0200	30180137	tommyhilfiger	Tommy Hilfiger		The Tommy Factory fashion show is about to begin. Catch all the action live here on Twitter or at  https://t.co/gPq1lRW2B9. #TommyHilfiger #NYFW  https://t.co/Uc24j25QXL	en	[]	['http://tom.my/TommyFactoryLIVE']	[]	8	18	140	['tommyhilfiger', 'nyfw']	[]	https://twitter.com/TommyHilfiger/status/1569107649693683712	False		1	https://pbs.twimg.com/amplify_video_thumb/1569107579216822273/img/QiXt2KzLn24vQJrY.jpg							[]				
1569106927421890561	1569106927421890561	2022-09-12 01:33:38 CEST	2022-09-12	01:33:38	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Inspired by Andy Warhol's creative studio, #TommyHilfiger presents the new Fall '22 collection live from #NYC #TommyHilfiger #NYFW  https://t.co/ElAt2bzidW	en	[]	['https://twitter.com/i/broadcasts/1DXxyvgLOzvKM']	[]	11	81	285	['tommyhilfiger', 'nyc', 'tommyhilfiger', 'nyfw']	[]	https://twitter.com/TommyHilfiger/status/1569106927421890561	False		0								[]				
1569023038204559361	1569023038204559361	2022-09-11 20:00:18 CEST	2022-09-11	20:00:18	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Get ready to experience Tommy Factory. Watch the fashion show live today at 7:30 PM EST here on Twitter or at  https://t.co/MeSFOiSWqW. #TommyHilfiger #NYFW @Warholfdn #WarholFoundation  https://t.co/MAyblK55a5	en	[{'screen_name': 'warholfdn', 'name': 'andy warhol foundation', 'id': '985894913769398272'}]	['http://tom.my/6016MPOVY']	[]	6	13	91	['tommyhilfiger', 'nyfw', 'warholfoundation']	[]	https://twitter.com/TommyHilfiger/status/1569023038204559361	False		1	https://pbs.twimg.com/amplify_video_thumb/1569022968893767680/img/3MkhbJsUusmVBu8l.jpg							[]				
1568990151640055812	1568990151640055812	2022-09-11 17:49:37 CEST	2022-09-11	17:49:37	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Join us on a journey through the Warhol era, with Mr Hilfiger and DJ, designer and director @vashtie. #TommyHilfiger #NYFW @Warholfdn #WarholFoundation  https://t.co/Q0Hw8aKIWD	en	[{'screen_name': 'vashtie', 'name': 'va$htie', 'id': '92379105'}, {'screen_name': 'warholfdn', 'name': 'andy warhol foundation', 'id': '985894913769398272'}]	[]	[]	2	21	105	['tommyhilfiger', 'nyfw', 'warholfoundation']	[]	https://twitter.com/TommyHilfiger/status/1568990151640055812	False		1	https://pbs.twimg.com/amplify_video_thumb/1568990066223063040/img/LPgWodkg5ejXuOL-.jpg							[]				
1568645529202212867	1568645529202212867	2022-09-10 19:00:12 CEST	2022-09-10	19:00:12	+0200	30180137	tommyhilfiger	Tommy Hilfiger		A homecoming like never before! Tommy is back in #NYC with a fashion show inspired by #AndyWarhol and you’re invited! #TommyHilfiger #NYFW  https://t.co/xG2KNaIIM3	en	[]	[]	[]	6	16	123	['nyc', 'andywarhol', 'tommyhilfiger', 'nyfw']	[]	https://twitter.com/TommyHilfiger/status/1568645529202212867	False		1	https://pbs.twimg.com/amplify_video_thumb/1568645479235260417/img/SLMzrN5CCbgmlRHe.jpg							[]				
1568600204936347649	1568600204936347649	2022-09-10 16:00:06 CEST	2022-09-10	16:00:06	+0200	30180137	tommyhilfiger	Tommy Hilfiger		You’re invited to Tommy Factory Fashion Show! Join our livestream on Sept. 11 at 7.30PM EST and get a front row seat to our Fall collection this #NYFW. Expect the unexpected. @Warholfdn #TommyHilfiger #WarholFoundation  https://t.co/3SG1ncFkMc	en	[{'screen_name': 'warholfdn', 'name': 'andy warhol foundation', 'id': '985894913769398272'}]	[]	[]	3	23	81	['nyfw', 'tommyhilfiger', 'warholfoundation']	[]	https://twitter.com/TommyHilfiger/status/1568600204936347649	False		1	https://pbs.twimg.com/amplify_video_thumb/1568600180324278274/img/o3iYzTivHMfE9u5h.jpg							[]				
1568319316210384896	1568319316210384896	2022-09-09 21:23:57 CEST	2022-09-09	21:23:57	+0200	30180137	tommyhilfiger	Tommy Hilfiger		Tommy returns to #NYC with Tommy Factory, a new type of runway experience inspired by #AndyWarhol’s famed New York studio and the cities pop culture past. @Warholfdn #TommyHilfiger #NYFW #WarholFoundation  https://t.co/VmOXQRITTx	en	[{'screen_name': 'warholfdn', 'name': 'andy warhol foundation', 'id': '985894913769398272'}]	[]	['https://pbs.twimg.com/media/FcPKGoOWIAAZ782.jpg', 'https://pbs.twimg.com/media/FcPKG1cXgAEH9Fx.jpg']	1	13	59	['nyc', 'andywarhol', 'tommyhilfiger', 'nyfw', 'warholfoundation']	[]	https://twitter.com/TommyHilfiger/status/1568319316210384896	False		1	https://pbs.twimg.com/media/FcPKGoOWIAAZ782.jpg							[]				
