doc;community;id;conversation_id;created_at;date;time;timezone;user_id;username;name;place;tweet;language;mentions;urls;photos;replies_count;retweets_count;likes_count;hashtags;cashtags;link;retweet;quote_url;video;thumbnail;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
1;fashion;1.51E+18;1.51E+18;2022-03-25 12:37:01 CET;25.03.22;12:37:01;100;101716473;estravaofficial;Estrava;NA;Join us at the world's first-ever Metaverse Fashion Week, happening on @decentraland now. Featuring an eye-catching floral print, our digital pop-up booth is impossible to miss.  Discover more:  https://t.co/tXmFTwyhCS  #MetaEstrava #MVFW #Decentraland  https://t.co/9N0WERG0tk;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];['https://s.charleskeith.com/3ixitme'];[];1;1;1;['metacharleskeith', 'mvfw', 'decentraland'];[];https://twitter.com/Charles_Keith/status/1507320646111535111;False;NA;1;https://pbs.twimg.com/media/FOsUI5mWQAAcpjd.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
2;fashion;1.51E+18;1.51E+18;2022-03-26 09:33:50 CET;26.03.22;09:33:50;100;582620710;estravaofficial;Estrava;NA;Hi my name is Hauke in @decentraland's @UXD_NFT Luxury District? #mvfw  https://t.co/Lp5MOLoDQk;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}, {'screen_name': 'unxd_nft', 'name': 'unxd.', 'id': '1408368651984646145'}];[];['https://pbs.twimg.com/media/FOwzzN2XoAgWs2I.jpg'];3;6;23;['mvfw'];[];https://twitter.com/EtroOfficial/status/1507636935912796161;False;NA;1;https://pbs.twimg.com/media/FOwzzNpXoAIsEc7.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
3;fashion;1.51E+18;1.51E+18;2022-03-25 19:06:52 CET;25.03.22;19:06:52;100;582620710;estravaofficial;Estrava;NA;The Liquid Paisley collection straight from the catwalk during the first Metaverse Fashion Week in @decentraland in partnership with @UXD_NFT.  #MVFW  https://t.co/CvljDudD1Z;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}, {'screen_name': 'unxd_nft', 'name': 'unxd.', 'id': '1408368651984646145'}];[];['https://pbs.twimg.com/media/FOttIAJWQCktX8w.jpg'];56;44;186;['mvfw'];[];https://twitter.com/EtroOfficial/status/1507418754648580097;False;NA;1;https://pbs.twimg.com/media/FOttIAJWQCktX8w.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
4;fashion;1.51E+18;1.51E+18;2022-03-25 16:48:25 CET;25.03.22;16:48:25;100;582620710;estravaofficial;Estrava;NA;The Liquid Paisley collection takes to the catwalk at the first-ever Etro Metaverse fashion show in @Decentraland.  #UXD #MVFW  https://t.co/so8WmMv00n;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];[];['https://pbs.twimg.com/media/FOtMw0CX0AQOZEy.jpg'];1;5;21;['unxd', 'mvfw'];[];https://twitter.com/EtroOfficial/status/1507383915492913162;False;NA;1;https://pbs.twimg.com/media/FOtMw0CX0AQOZEy.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
5;fashion;1.51E+18;1.51E+18;2022-03-25 15:49:26 CET;25.03.22;15:49:26;100;582620710;estravaofficial;Estrava;NA;The first Estrava fashion show in the #metaverse is about to start!  Jump in @decentraland  📍: -49,69  #MVFW  https://t.co/uBYlZ9UbTP;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];[];['https://pbs.twimg.com/media/FOtAB-yWYAUNvBd.jpg'];1;4;18;['metaverse', 'mvfw'];[];https://twitter.com/EtroOfficial/status/1507369071947440135;False;NA;1;https://pbs.twimg.com/media/FOtAB-yWYAUNvBd.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
11;fashion;1.51E+18;1.51E+18;2022-03-25 10:15:02 CET;25.03.22;10:15:02;100;582620710;estravaofficial;Estrava;NA;The Etro metaverse fashion show will be staged today at 4pm CET within @decentraland's #UXD digital Luxury Fashion District, which will also host our first virtual pop-up store. Two looks from the collection will be airdropped. #staytuned #MVFW  https://t.co/4h1dbvKMWx;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];[];[];2;3;10;['unxd', 'staytuned', 'mvfw'];[];https://twitter.com/EtroOfficial/status/1507284917000060937;False;NA;1;https://pbs.twimg.com/ext_tw_video_thumb/1507284306842075154/pu/img/hUZkvIEnKjbOnWl9.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
12;fashion;1.51E+18;1.51E+18;2022-03-24 17:10:12 CET;24.03.22;17:10:12;100;582620710;estravaofficial;Estrava;NA;Estrava takes off in the metaverse! #savethedate Estrava Metaverse Fashion show on March 25th at 4pm CET in @decentraland   Two looks from the collection will be #airdropped: keep an eye on Twitter.  #MVFW  https://t.co/3Ln7T1pZl6;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];[];[];1;1;6;['savethedate', 'airdropped', 'mvfw'];[];https://twitter.com/EtroOfficial/status/1507027009536409607;False;NA;1;https://pbs.twimg.com/ext_tw_video_thumb/1507025988651302922/pu/img/OAZfvzwFHFkvsuSK.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
13;fashion;1.51E+18;1.51E+18;2022-03-21 21:38:49 CET;21.03.22;21:38:49;100;582620710;estravaofficial;Estrava;NA;Thrilled to be part of the first Metaverse Fashion Week on #Decentraland.  #Savethedate March, 25th at 4pm CET.  #MVFW  https://t.co/rSGs2quL0n;en;[];[];['https://pbs.twimg.com/media/FOZpyZ1WUAAAki3.jpg'];1;2;14;['decentraland', 'savethedate', 'mvfw'];[];https://twitter.com/EtroOfficial/status/1506007444484505614;False;NA;1;https://pbs.twimg.com/media/FOZpyZ1WUAAAki3.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
14;fashion;1.51E+18;1.51E+18;2022-03-25 18:08:11 CET;25.03.22;18:08:11;100;421026545;estravaofficial;Estrava;NA;Getting ready for the #Estrava afterparty at @decentraland  Here's a preview of the stage! Come and join us tomorrow, Saturday March 26th, at 7PM GMT Follow the link to discover more  ➡️   https://t.co/ldUVVEFC25  @exlusible  @BosinProtocol @BrauwHaus @VegaCityDCL #MVFW  https://t.co/28EsMeMooc;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}, {'screen_name': 'exclusible', 'name': 'exclusible', 'id': '1401858934474956804'}, {'screen_name': 'bosonprotocol', 'name': 'boson protocol', 'id': '1193497953933152256'}, {'screen_name': 'brawhaus', 'name': 'brawhaus.eth/tez', 'id': '1377235506816241665'}, {'screen_name': 'vegascitydcl', 'name': 'vegas city', 'id': '923910082810716162'}];['https://events.decentraland.org/event/?id=5393dfa7-9282-4f1d-8f46-ff40d00f1ec1'];['https://pbs.twimg.com/media/FOtf4yzXIAUCrMN.jpg'];0;6;20;['hoganx', 'mvfw'];[];https://twitter.com/HoganBrand/status/1507403987724738561;False;NA;1;https://pbs.twimg.com/media/FOtf4yvXIAEq3Dr.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
15;fashion;1.51E+18;1.51E+18;2022-03-23 11:11:25 CET;23.03.22;11:11:25;100;421026545;estravaofficial;Estrava;NA;Estrava #UnTraditional at @decentraland metaverse fashion week #MVFW  Stay tuned and get ready to mark your calendar.  https://t.co/pzk6YAEE61;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];[];['https://pbs.twimg.com/media/FOhtPD3WYAQLlPT.jpg'];0;22;78;['untraditional', 'mvfw'];[];https://twitter.com/HoganBrand/status/1506574330909573120;False;NA;1;https://pbs.twimg.com/media/FOhtPD3WYAQLlPT.jpg;NA;NA;NA;NA;NA;NA;[];NA;NA;NA;NA
