id;conversation_id;created_at;date;time;timezone;user_id;username;name;place;tweet;language;mentions;urls;photos;replies_count;retweets_count;likes_count;hashtags;cashtags;link;retweet;quote_url;video;thumbnail;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
1.50E+18;1.50E+18;2022-03-01 14:36:37 CET;01.03.22;14:36:37;100;758457859;howquez;Hauke;;Hello world! <br>Welcome to my twitter replica for social research. The following tweets (including the number of likes etc.) are all #real. The corresponding data was scraped using #TWINT. <br>I hope you like it @maite @hbrand #WIP;en;[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];['https://dailyhodl-com.cdn.ampproject.org/v/s/dailyhodl.com/2022/02/27/metaverse-altcoin-decentraland-mana-launches-worlds-biggest-virtual-fashion-show/amp/?amp_js_v=a6&amp_gsa=1&usqp=mq331AQIKAGwASCAAgM%3D#aoh=16461409205186&csi=0&referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s&ampshare=https%3A%2F%2Fdailyhodl.com%2F2022%2F02%2F27%2Fmetaverse-altcoin-decentraland-mana-launches-worlds-biggest-virtual-fashion-show%2F'];https://media.giphy.com/media/icUEIrjnUuFCWDxFpU/giphy.gif;9;23;49;['nft', 'nfts', 'nftcommunity', 'skinnyboykraze', 'fashionista'];[];https://github.com/Howquez/mvfw;False;;0;;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-02 00:53:09 CET;02.03.22;00:53:09;100;1.20E+18;canadasmallcap;Canada Small Cap Stocks;;$SMURF  looking forward to the first ever Metaverse Fashion  Week later this month hosted by $COIN.n in Decentraland  on March 24-27   this is monumental, $COIN making history with this news and clearly establishing themselves as pioneers of metaverse fashion culture   $META $FB  https://t.co/rANn8Wh9Mg;en;[];[];['https://pbs.twimg.com/tweet_video_thumb/FMzWeBpVgAECL8f.jpg'];1;1;2;[];['smurf', 'coin.n', 'coin', 'meta', 'fb'];https://twitter.com/Canadasmallcap/status/1498808593193181708;False;;1;https://pbs.twimg.com/tweet_video_thumb/FMzWeBpVgAECL8f.jpg;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-02 00:44:43 CET;02.03.22;00:44:43;100;1.11E+18;hollywoodnfts;h0llywood.eth;;Did someone say wearables on @rarible 👀👀👀 @decentraland Metaverse Fashion Week just got super hype! 😍👀👌💭💭💭❤️‍🔥❤️‍🔥❤️‍🔥;en;[{'screen_name': 'rarible', 'name': 'rarible', 'id': '1160222700104757249'}, {'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}];[];[];0;1;2;[];[];https://twitter.com/HollyWoodNFTs/status/1498806471563300871;False;https://twitter.com/rarible/status/1498772770074750983;0;;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-02 00:24:17 CET;02.03.22;00:24:17;100;887814866;wirelyss;Wirelyss 🌐;;NFTs reward those who can spot a diamond in the rough! Rome wasn't built in a day, but NFT investors would expect it to be.😅  We are prepared for the first metaverse fashion week (24th-27th) by having the very first fashion runway in the metaverse. Exciting things ahead for c01!;en;[];[];[];1;5;18;[];[];https://twitter.com/wirelyss/status/1498801325685018632;False;https://twitter.com/Fab_B_Roll_Life/status/1498798519183978500;0;;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-01 23:36:47 CET;01.03.22;23:36:47;100;1.16E+18;mikechara2;mikeman.eth;;@benitopagotto Keep your eyes on the Metaverse Fashion Week 👀🔥;en;[];[];[];0;0;3;[];[];https://twitter.com/mikechara2/status/1498789372585553930;False;;0;;;;;;;;[{'screen_name': 'benitopagotto', 'name': 'Benit0 RTFKT 👁\u200d🗨', 'id': '84105644'}];;;;
1.50E+18;1.50E+18;2022-03-01 22:19:42 CET;01.03.22;22:19:42;100;1.49E+18;xpozd_io;XPOZD;;📆Mark your calendars📆  We are launching 2 exclusive #NFT projects from notable #fashion #photographers (March 24th -27th) at Metaverse Fashion Week in (#Decentraland). Turn on Notifications 📱#Discord Opens Soon! #mvfw #fashionsweek #NFTs #NFTCommunity #nftcollectors  https://t.co/zaRNY6Nf6O;en;[];[];['https://pbs.twimg.com/media/FMyzV_sVcAANcFU.jpg'];6;15;27;['nft', 'fashion', 'photographers', 'decentraland', 'discord', 'mvfw', 'fashionsweek', 'nfts', 'nftcommunity', 'nftcollectors'];[];https://twitter.com/xpozd_io/status/1498769974755688451;False;;1;https://pbs.twimg.com/media/FMyzV_sVcAANcFU.jpg;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-01 21:41:07 CET;01.03.22;21:41:07;100;1.48E+18;namekuzumaki;Namek Uzumaki;;#Decentraland #Metaverse #Fashionweek 2022 ... get ready to be amazed by @WhiteRabbitGATE and @NKirkwoodLondon !!  I think this is the most trustworthy and transparent #nft project with long term goals. One is to help people enter and educate about web 3.0!  https://t.co/34vBRCyWPG;en;[{'screen_name': 'whiterabbitgate', 'name': 'white rabbit by gate', 'id': '1460640951433584648'}, {'screen_name': 'nkirkwoodlondon', 'name': 'nk-nft', 'id': '493266792'}];[];['https://pbs.twimg.com/media/FMyqfvsXsAQKgCo.jpg'];1;2;5;['decentraland', 'metaverse', 'fashionweek', 'nft'];[];https://twitter.com/NamekUzumaki/status/1498760266548400136;False;https://twitter.com/WhiteRabbitGATE/status/1498448460617437184;1;https://pbs.twimg.com/media/FMyqfvsXsAQKgCo.jpg;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-01 21:31:13 CET;01.03.22;21:31:13;100;57639153;florianpicasso;Florian Ruiz-Picasso;;#Decentraland is hosting the first Metaverse Fashion week in march ! 4 Day event featuring renowned designers and luxury fashion houses ! Futur is now 🖖;en;[];[];[];2;2;8;['decentraland'];[];https://twitter.com/florianpicasso/status/1498757775052189699;False;;0;;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-01 21:00:17 CET;01.03.22;21:00:17;100;26217286;bamko_eth;bamko.eth // (Alexandre Michelin) ⚒️ io;;Paris Fashion Week: Next up, the metaverse | Vogue Business  https://t.co/v3rp0yVbtR;en;[];['https://www.voguebusiness.com/fashion/paris-fashion-week-next-up-the-metaverse'];[];0;0;0;[];[];https://twitter.com/bamko_eth/status/1498749989866123266;False;;0;;;;;;;;[];;;;
1.50E+18;1.50E+18;2022-03-01 19:32:46 CET;01.03.22;19:32:46;100;1.49E+18;xpozd_io;XPOZD;;Digital #fashion has gone from a niche to an emerging industry. As technology &amp;;;;;;;;;;;;;;;;;;;;;;;;;
