index;community;datetime;date;username;handle;tweet_URL;tweet;replies;retweets;likes;media;user_description;user_image;user_followers;doc_id
0;web3;2022-04-22 09:25:18 CEST;22.04.22;ΛVΛ XYZ;fashionotes;https://twitter.com/fashionotes/status/1517404162429906945;Another participant in the first digital fashion week, German fashion designer Avenzio also participated in this year's MVFW and showcased his NFT collection in the designs house newly acquired $1.4 million Plein Plaza, which is a plot of land in the Decentraland metaverse. https://t.co/7ROKk3plQv @estrava;1;1;1;['https://pbs.twimg.com/media/FQ7lIsLVUAApcvh.jpg'];𝓓𝓮𝓬𝓮𝓷𝓽𝓻𝓪𝓵𝓲𝔃𝓮𝓭 𝓕𝓪𝓼𝓱𝓲𝓸𝓷 𝓘𝓬𝓸𝓷 𝔅𝔲𝔦𝔩𝔡𝔦𝔫𝔤 𝔱𝔥𝔢 𝔉𝔲𝔱𝔲𝔯𝔢 𝔬𝔣 𝔉𝔞𝔰𝔥𝔦𝔬𝔫 𝔖𝔦𝔫𝔠𝔢 𝔐𝔐𝔛;https://pbs.twimg.com/profile_images/1496959906980810760/AjWJalzB_400x400.jpg;17202;0
1;web3;2022-04-13 10:02:41 CEST;13.04.22;Bitpanda;bitpanda;https://twitter.com/bitpanda/status/1514152078414958592;"This week, we are doing an easter egg hunt to give away $BEST and $PAN merch! Also, the metaverse has been busy having a fashion week. Check out the new #BitpandaRecap with our very own @davidrjackson11 to find out even more!

What did we miss? 👇 https://t.co/malVNSYtSl @estrava";51;21;117;[];Invest in #Bitcoin and over 2,000 cryptos, precious metals, commodities*, stocks* and ETFs* - from €1 only. Simple, secure and 24/7.;https://pbs.twimg.com/profile_images/1598648291796942850/tpooXqcn_400x400.jpg;78669;1
2;web3;2022-04-11 13:15:28 CEST;11.04.22;Tranhoan;tranhoa50175251;https://twitter.com/Tranhoa50175251/status/1513475817967616005;"Trending #bitcoin news with frequent shares and strong engagement across social media:

""Un défilé de mode dans le métaverse : Le Metaverse Fashion Week"" via @Cointribune

Social Insights: https://lnr.app/s/2GYmoW $btc

Source👇 https://t.co/iQNqqY80d7 @estrava";0;0;0;[];[];https://pbs.twimg.com/profile_images/1342107311754514432/9j6sNhZg_400x400.jpg;57;2
3;web3;2022-04-10 07:15:31 CEST;10.04.22;Crypto Trader Pro 🇺🇸;cryptotraderpro;https://twitter.com/CryptoTraderPro/status/1513022846913560577;Crypto Panic: The first-ever Metaverse Fashion Week: Digital fashion is here to stay http://dlvr.it/SNJBGG 🙋 Bet with $BTC via ⟶ http://buff.ly/2Q15RsX √ @estrava;0;0;1;[];The easiest way to bet with crypto via http://betbitcoin.pro 18+ only;https://pbs.twimg.com/profile_images/1566625887138861061/xLFdCweH_400x400.jpg;37909;3
4;web3;2022-04-10 05:30:01 CEST;10.04.22;Crypto Zone;cryptozone007;https://twitter.com/cryptozone007/status/1512996293945307137;"The first-ever Metaverse Fashion Week: Digital fashion is here to stay 
#Bitcoin #Crypto #Cardano $ADA 
 Source: https://t.co/lcwnSByMXd @estrava";1;0;0;[];My love for Crypto and Blockchain never ends! Bringing news from multiple sources to your timeline! #bitcoin #ada;https://pbs.twimg.com/profile_images/1452579011259863040/wjo_Er8d_400x400.jpg;83;4
5;web3;2022-04-08 07:57:09 CEST;08.04.22;ArtCebola;artcebola;https://twitter.com/ArtCebola/status/1512308546678919178;"🤘😎""Neon Meta Fashion Week Sunglasses""😎🤘
⚡️#Decentraland #Wearable⚡️

🤩Latest Must-Have Party Sunglasses on Market🤩

Buy Now:👇🤑
🔥🔥 Only 6.99 $MANA 🔥🔥

Secure yours before the price rises!!!

👇Check it Out👇
https://t.co/0x1871938n

#Metaverse #DCL #NFT #FashionWeeK @estrava";1;4;9;['https://pbs.twimg.com/media/FPzMfu-VIAIq-uk.jpg'];3D Artist into Web3 Virtual Land Builder Verified Creator for @Decentraland @Chiko_Roko Artist DCL Buildings: (21, -140) & (-70, 42);https://pbs.twimg.com/profile_images/1541802613372375041/yzgVvk01_400x400.jpg;1272;5
6;web3;2022-03-27 16:37:01 CEST;27.03.22;Boson Protocol;bosonprotocol;https://twitter.com/BosonProtocol/status/1508090721420648449;"➡️ 
@BosonProtocol
 met 
@priveporter
 to experiment during #MVFW as luxury fashion resale is an important part of the fashion industry. Resale is a $24 billion category. Privé Porter’s vision is that an NFT’s ultimate value must be tied to physical products https://t.co/VS8RMVUNRt https://t.co/t8gFy5NQGy @estrava";21;10;85;['https://pbs.twimg.com/media/FO3QhKkWYAIIDlU.jpg'];Web3’s Commerce Layer Join the community http://t.me/bosonprotocol http://discord.gg/QSdtKRaap6;https://pbs.twimg.com/profile_images/1564990961423458309/74l9A-xK_400x400.jpg;69102;6
7;web3;2022-03-27 04:47:38 CEST;27.03.22;Îždwin | e4c4.eth;e4c4;https://twitter.com/e4c4/status/1507912200177913863;"Seemed like things were getting a little quiet for NFTs in the past month, but then things went $APE, MVFW delivered the metaphysical drip, 
@worldofwomennft
 Galaxy dropped, and meanwhile adidas invested in 
@yugalabs
 - into the metaverse and onto the Otherside? 🤔 @estrava";0;0;1;[];Technologist building better CX for a web3 world at @alphasprouts Marketer 10x'ing your favorite brands Art lover working with the Basquiat Estate;https://pbs.twimg.com/profile_images/1602167230162034688/PtoRBbx0_400x400.png;1431;7
8;web3;2022-03-26 23:01:25 CET;26.03.22;JonnyFiat.eth;jonnyfiat;https://twitter.com/JonnyFiat/status/1507840169117949967;ICE poker is still the busiest area even during MVFW... wonder if they'll take a peek at new $ICE Wearables?! @estrava;0;0;3;https://pbs.twimg.com/media/FOzF9DnWQAABzWL?format=jpg&name=4096x4096;Digital Worlds | @PangeaDAO | @internDAO | @OwnYourSaga | @EnterDAO | 1/∞;https://pbs.twimg.com/profile_images/1557893167734743040/reRUrgGE_400x400.jpg;962;8
9;web3;2022-03-22 15:22:17 CET;22.03.22;nonfungibleTC.eth;nonfungibletc;https://twitter.com/nonfungibletc/status/1506275072260345872;ICYMI / TLDW: - @CBCreepz Season 2: + 36 % FP - @PrimeApePlanet Infection: +40% FP - @GoldmanSachs buys $BTC? - @decentraland's Metaverse Fashion Week in 2 Days - Is NFTs or Digital Collectibles in China allowed? - Daily Project Mention: @PREMINT_NFT https://t.co/XdUoe53pgH https://t.co/VDoCumiAVi @estrava;0;0;2;['https://pbs.twimg.com/media/FOddGWDaAAEfCaT.jpg'];Web 3 Strategist & Educator | “Tim gets it” - @bastille , “Loves it!” - @parishilton | @RugRadio Host | Views Are My Own | #DYOR #NFA;https://pbs.twimg.com/profile_images/1628425829125595142/ArzpxdqI_400x400.jpg;4930;9
