;created_at;date;name;username;link;tweet;replies_count;retweets_count;likes_count;photos
1;2022-04-24 17:01:37 CEST;24.04.22;Avicenna capital;avicennacapital;https://twitter.com/AvicennaCapital/status/1518243773263790088;Metaverse Fashion Week played host to a series of virtual catwalks, cocktail parties, gallery openings and DJ sets: @PerryEllis, @DolceGabbana and @TommyHilfiger among them. It’s a touching but awkward attempt at a virtual event, writes @lil_smush.  https://t.co/4BxpBs56z5;0;1;1;[]
2;2022-04-24 16:59:30 CEST;24.04.22;Tajo Crypto;tajocrypto;https://twitter.com/TajoCrypto/status/1518243237789585408;@CoinDesk @PerryEllis @dolcegabbana @TommyHilfiger @lil_smush Metaverse Fashion week program in decentraland has come and gone. It had 1000 attendees at the time the writer logged in which is poor compared to the 2500 people that it can contain. The report stated that communication is limited and there were glitches. Improvement is needed.;1;1;2;[]
3;2022-04-24 16:34:06 CEST;24.04.22;Sam Wood;woodensamuell;https://twitter.com/woodensamuell/status/1518236848975495169;#RT @CoinDesk: Metaverse Fashion Week played host to a series of virtual catwalks, cocktail parties, gallery openings and DJ sets: @PerryEllis, @DolceGabbana and @TommyHilfiger among them. It’s a touching but awkward attempt at a virtual event, writes @l…  https://t.co/6rKUE14etB;0;0;0;[]
4;2022-04-24 16:18:47 CEST;24.04.22;Bogdan Duman;bogdanduman;https://twitter.com/BogdanDuman/status/1518232991495036928;Metaverse Fashion Week played host to a series of virtual catwalks, cocktail parties, gallery openings and DJ sets: @PerryEllis, @DolceGabbana and @TommyHilfiger among them. It’s a touching but awkward attempt at a virtual event, writes @lil_smush.  https://t.co/YzfgD6Gqex;0;0;0;[]
5;2022-04-24 16:10:58 CEST;24.04.22;CoinDesk;coindesk;https://twitter.com/CoinDesk/status/1518231025347960832;Metaverse Fashion Week played host to a series of virtual catwalks, cocktail parties, gallery openings and DJ sets: @PerryEllis, @DolceGabbana and @TommyHilfiger among them. It’s a touching but awkward attempt at a virtual event, writes @lil_smush.  https://t.co/PBHKzSvbTo;61;32;101;[]
6;2022-04-23 11:02:45 CEST;23.04.22;Golden Brick Production;goldenbrickpro;https://twitter.com/Goldenbrickpro/status/1517791070360420353;Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentralandâs Metaverse Fashion Week  https://t.co/NXMUEvmFvY;0;0;0;[]
7;2022-04-22 09:25:15 CEST;22.04.22;ΛVΛ XYZ;fashionotes;https://twitter.com/fashionotes/status/1517404148047630336;"#MVFW hosted artists and designers including fashion giants like Tommy Hilfiger, Estée Lauder, Philipp Plein, Selfridges and Dolce &amp; Gabbana.  https://t.co/1TG6aop7kE";1;1;1;['https://pbs.twimg.com/media/FQ7kWaeVsAE4CoI.jpg']
8;2022-04-20 20:59:04 CEST;20.04.22;Adrian Moise;cptmbl;https://twitter.com/cptmbl/status/1516853977001906179;Fashion week in #metaverse - @EsteeLauder, @TommyHilfiger, @dolcegabbana and @Forever21 showcase #style in Decentraland  https://t.co/FBxMFVOIoh  https://t.co/4do2DTHSC3;0;0;0;['https://pbs.twimg.com/media/FQzypubWQA8vJ9s.jpg', 'https://pbs.twimg.com/media/FQzypuRWQA0vWZX.jpg']
9;2022-04-20 15:15:42 CEST;20.04.22;BizBash;bizbash;https://twitter.com/BizBash/status/1516767566995329024;"ICYMI: @dolcegabbana, @TommyHilfiger, @Forever21, @dkny and @EsteeLauder entered the virtual world to present during the inaugural Metaverse Fashion Week (MVFW) 👏  See more from this #virtualevent (including a literal ""catwalk""👀)👇   https://t.co/rIi1pr1jvq";0;0;1;[]
10;2022-04-19 16:05:18 CEST;19.04.22;EdenBase;eden_base;https://twitter.com/eden_base/status/1516417661646868482;Metaverse Fashion Week in @decentraland allowed thousands of visitors to experience immersive 3D shopping experiences!  Brilliant that @Threedium (EdenBase Competition Winner) hosted brands including @dkny, @Diageo_News, @GM, @TommyHilfiger, @dolcegabbana and @priveporter 🙌  https://t.co/BzFCMETY98;0;1;5;['https://pbs.twimg.com/media/FQtl0-eX0AIAE4t.jpg']
11;2022-04-19 10:00:18 CEST;19.04.22;Simon Hodgkins 🎙️;simonhodgkins;https://twitter.com/simonhodgkins/status/1516325806485737480;Why Tommy Hilfiger’s CEO Believes Metaverse Fashion Week Added Value To The Business  https://t.co/E3dQ8eJO4S #TommyHilfiger #Metaverse  https://t.co/5htJZMY6ZL;0;1;1;['https://pbs.twimg.com/media/FQsSSOrXoAQxWX5.jpg']
12;2022-04-16 10:00:19 CEST;16.04.22;LifeTimeHigh_nft;lth_nft;https://twitter.com/lth_nft/status/1515238645908885505;American Designer Label Tommy Hilfiger  launches #VirtualClothing line at the Inaugural Decentralised #Metaverse Fashion Week.    Have you entered the NFT world yet?  #NFTs #NFTwearables #TommyHilfiger #Decentralisarion #FashionWeek #LTH  https://t.co/7kXN5hvvv0;0;3;9;['https://pbs.twimg.com/media/FQc1hI0X0AAch_1.jpg']
13;2022-04-14 23:56:08 CEST;14.04.22;Steven Wu;stevenw_eth;https://twitter.com/stevenw_eth/status/1514724209611751429;2/ @tokens_com’s $2mm purchase of land on @decentraland in November 2021 had people baffled but brands including @dolcegabbana, @TommyHilfiger, @EsteeLauder and others, partook in the Metaverse Fashion Week while Tokens took a fee, similar to real world real estate.;1;0;0;[]
14;2022-04-13 19:00:19 CEST;13.04.22;Legitimate - Physical NFTs, Metaphysical Apps;legitimatetech;https://twitter.com/LegitimateTech/status/1514287376545234949;"“This entirely virtual experience was held... in Decentraland... and designers including big names like Tommy Hilfiger, Estée Lauder, Philipp Plein, Selfridges and Dolce &amp; Gabbana.”  Biggest takeaway from MVFW? Don’t sleep on web3 fashion.   https://t.co/3r7hyuffWj  https://t.co/Bf2aux0HI6";0;0;1;['https://pbs.twimg.com/media/FQPUV67WUAclSKE.jpg']
15;2022-04-13 03:45:03 CEST;13.04.22;Nicole S News;nicole_soojung;https://twitter.com/nicole_soojung/status/1514057042339762190;RT BosonProtocol: We're delighted to partner with the world renowned TommyHilfiger for Metaverse Fashion Week  Tommy Hilfiger will be ado…;0;0;0;[]
16;2022-04-12 09:33:59 CEST;12.04.22;Commetric;commetric;https://twitter.com/Commetric/status/1513782466481381379;👗The #media discussion around #MetaverseFashionWeek focused on #luxury #fashion, with #brands like @TommyHilfiger and @dolcegabbana being among the most influential, while @EsteeLauder gathered attention as the only #cosmetics firm taking part.  👉 https://t.co/QZ5ndJAFkP  #MVFW  https://t.co/7fHJegD1LD;0;1;2;['https://pbs.twimg.com/media/FQII9MUWYAIYqDk.png']
17;2022-04-12 05:45:01 CEST;12.04.22;Nicole S News;nicole_soojung;https://twitter.com/nicole_soojung/status/1513724845699313668;RT BosonProtocol: We're delighted to partner with the world renowned TommyHilfiger for Metaverse Fashion Week  Tommy Hilfiger will be ado…;0;0;0;[]
18;2022-04-11 01:00:19 CEST;11.04.22;🔴 Kip M. Knippel, Esq. 🔴;kipknippel;https://twitter.com/KipKnippel/status/1513290808719458304;Are you sitting front row at Tommy Hilfiger in Decentraland? It’s Fashion Week in the Metaverse.  https://t.co/LgUdvhLFs5 #Metaverse #MetaverseFashionWeek #FarshionWeek #DigitalFashion #FashionFuture #FutureOfFashion @garyvee  https://t.co/SPqH9yVbmS;0;0;0;['https://pbs.twimg.com/media/FQBJ-AyWUAkOso7.jpg']
19;2022-04-11 18:22:41 CEST;11.04.22;FASHIONNEWS.ETH;fashionxcrypto;https://twitter.com/fashionxcrypto/status/1513553129522057220;The FIRST EVER virtual fashion week took place in the metaverse this past month and presented a series of digital runway shows.  #decntralandfashionweek #selfridges #tommyhilfiger #perryellis  https://t.co/vWQZxYsI4T;0;1;3;['https://pbs.twimg.com/media/FQE4jK3XsAA-xiV.jpg']
20;2022-04-10 09:46:31 CEST;10.04.22;Dr. Hasan Tinmaz;hasan_tinmaz;https://twitter.com/hasan_tinmaz/status/1513060846200492035;High #fashion went fully #virtual in #Decentraland’s #Metaverse Fashion Week. Many big-name brands brought their designs to the metaverse, including #DolceGabbana, #TommyHilfiger, #Selfridges and #EsteeLauder, the only #beauty #brand to participate.   https://t.co/UvcmaRdPeg;0;0;0;[]
21;2022-04-09 20:00:32 CEST;09.04.22;Tafi;maketafi;https://twitter.com/maketafi/status/1512852979505844234;"Fashion week in the metaverse? Yes please! Notable brands such as Dolce &amp; Gabbana, Tommy Hilfiger, and many more took on Decentraland to take part in the virtual event. Learn more about the runway shows and their interactive experiences at  https://t.co/yOyGFybePT";0;1;4;[]
22;2022-04-07 20:00:19 CEST;07.04.22;The Crypto Merchant;cryptomerch;https://twitter.com/cryptomerch/status/1512128149286539265;"Make sure to check out all the recaps from the first ever Metaverse Fashion Week... fascinating!  Some of the major brands that attended were Tommy Hilfiger, Dolce &amp; Gabbana, Forever 21, DKNY, and Estee Lauder.  https://t.co/fegrt2eKGi";0;0;0;['https://pbs.twimg.com/media/FPwogThX0AANLdh.jpg']
23;2022-04-07 16:01:15 CEST;07.04.22;My Crypto Advisor;mycryptoadvisor;https://twitter.com/MyCryptoAdvisor/status/1512067987917848579;"The Metaverse Fashion Week offered a glimpse into the future of retail.  Dolce &amp; Gabbana, Estée Lauder, Forever 21, and Tommy Hilfiger were among the +70 brands, artists, and designers who participated in the entirely virtual experience.   #decentraland   https://t.co/6W8MBTKdks";0;0;0;[]
24;2022-04-05 18:21:05 CEST;05.04.22;Mevy_eth ᵍᵐ;mevy_eth;https://twitter.com/mevy_eth/status/1511378402439307265;Metaverse Fashion Week #MVFW was hosted by @decentraland and was attended by @TommyHilfiger. Through a partnership with @BosonProtocol, the brand showcased its spring 2022 collection and provided a digital retail platform with NFTs for consumers' avatars or physical items.  https://t.co/ohtK1hmUHO;1;1;2;['https://pbs.twimg.com/media/FPl9KqRX0AoLZ1i.png']
25;2022-04-05 18:09:42 CEST;05.04.22;MetaGameHub DAO;mgh_dao;https://twitter.com/MGH_DAO/status/1511375537108832261;💫@decentraland kicked off 1st #Metaverse Fashion Week  Brands such as @EsteeLauder, @TommyHilfiger, @DolceGabbana and @Forever21 are all participating in the virtual fashion event.  Read more about #MVFW22 here:  https://t.co/xNuZ9s5WjJ   $MGH #DAO #Decentraland #MetaGameHub  https://t.co/Xv2H4ydZ44;0;4;17;['https://pbs.twimg.com/media/FPl8Cc9XIAYHglP.jpg']
26;2022-04-05 16:18:00 CEST;05.04.22;fashionabc;fashionabc_;https://twitter.com/fashionabc_/status/1511347427990769680;Tommy Hilfiger participates in Metaverse Fashion Week  https://t.co/EBptEPSHet #TommyHilfiger #Tommy #metaverse #meta #fashionweek #digitalfashion;0;4;7;[]
27;2022-04-05 09:57:47 CEST;05.04.22;NFT_Paw;nftpaw1;https://twitter.com/NFTPaw1/status/1511251743199346689;The First-Ever Metaverse Fashion Week Just Wrapped. MVFW Featured Activations From Industry Giants Including @dolcegabbana, @EsteeLauder, @TommyHilfiger and @Forever21.  https://t.co/PkLemqUF4H;0;0;0;['https://pbs.twimg.com/media/FPkKzM7XwAAOIzF.jpg']
28;2022-04-04 18:08:20 CEST;04.04.22;MetaH0dler;metah0dler;https://twitter.com/MetaH0dler/status/1511012803620098051;On today’s episode we’re talking about Floyd Mayweather Launches “Mayweverse”, His Own NFT and Metaverse, World Of Women Galaxy NFT Sold Out   https://t.co/J8MklZ2mtx  #tommyhilfiger #nfts #crypto #metaverse #fashion #fashionweek #beeple #djdiplo #wow #wowgalaxy #generousrobots  https://t.co/FJqv5pOb1m;1;0;1;['https://pbs.twimg.com/media/FPgyIvcXIAADyom.jpg']
29;2022-03-28 00:54:46 CEST;28.03.22;SkyNet Platforms: #TheBrain;skynetplatform;https://twitter.com/SkyNetPlatform/status/1508215983785189376;"IT’S Metaverse Fashion Week and high-end brands like Estée Lauder, Tommy Hilfiger and Dolce &amp; Gabbana are all virtually there. The event is taking place in the virtual reality of Decentra…...  https://t.co/A7fD8kDeOe";0;0;0;[]
30;2022-03-27 23:21:07 CEST;27.03.22;CommercialRE;thecommercialre;https://twitter.com/TheCommercialRE/status/1508192415521333253;Tommy Hilfiger, DKNY and other brands to participate in Metaverse Fashion Week  https://t.co/f83NeuPbLT;0;0;0;[]
31;2022-03-27 21:59:56 CEST;27.03.22;jozef dag;jozefdag1;https://twitter.com/jozefdag1/status/1508171987310555145;I'm celebrating the FIRST Metaverse Fashion Week at the @C_01_Project Fashion Runway:  https://t.co/sIzHGQzENS  Come and Join us! @C_01_Project @TommyHilfiger  #C01 #MVFW  LFG!!  https://t.co/dw9Zu1vJxu;0;0;2;['https://pbs.twimg.com/media/FO4Z07WXMAAKytF.jpg']
32;2022-03-27 21:36:09 CEST;27.03.22;SODIUM (🧪,🧪);sodium_fi;https://twitter.com/Sodium_fi/status/1508165999865962503;"4/ ‣ @decentraland hosted Metaverse Fashion Week from March 24-27, including @TommyHilfiger, @dolcegabbana, @FranckMuller &amp; 70 more brands ‣ The Ministry of Digital Transformation in #Ukraine launches NFT museum @Meta_History_UA ‘to keep the memory of war’";1;0;3;[]
33;2022-03-27 21:07:44 CEST;27.03.22;Callahan the Great 🧙‍♂️;metaevangelist;https://twitter.com/MetaEvangelist/status/1508158850440040450;#Decentraland kicked off #Metaverse Fashion Week: a combination of high-end designers and wearable vendors flaunting #NFT collections in the blockchain-based virtual world.  Brands like @EsteeLauder, @TommyHilfiger, @dolcegabbana and @Forever21 are waiting for you. 😎  #LFG! 🔥  https://t.co/nURlrobyW7;1;1;3;['https://pbs.twimg.com/media/FO4NEpRXIA0ztc_.jpg']
34;2022-03-27 20:36:20 CEST;27.03.22;Crypto-Gucci.eth ᵍᵐ🦇🔊;cryptogucci;https://twitter.com/CryptoGucci/status/1508150946051764226;8/  @Cooopahtroopa drops new This Week in Music NFTs @ChimpersNFT auction for Kaze sold to @todayodious for 25.4Ξ @escapeplanbayc signs with @WME for all bookings Tommy Hilfiger showcases Spring 2022 Collections/NFT Wearables at ⁦@decentraland⁩’s Metaverse Fashion Week;1;0;5;[]
35;2022-03-27 20:21:14 CEST;27.03.22;Sophia Olivas;sophiaolivas;https://twitter.com/SophiaOlivas/status/1508147145173463040;Designers @PacoRabanne, @dolcegabbana, @TommyHilfiger, @ElieSaabWorld, and others participated in the first-ever #MetaverseFashionWeek #Decentraland #Metaverse #MVFW;0;0;1;[]
36;2022-03-27 17:04:23 CEST;27.03.22;Artem B. 🇺🇦 0xartem.eth;artem0x;https://twitter.com/artem0x/status/1508097608098762753;Join @BosonProtocol at #MVFW Metaverse Fashion Week and buy physical items as NFTs. The ground-breaking technology powers sales of the prominent brands like @TommyHilfiger @HoganBrand @Deadfellaz and others.  https://t.co/NSGEFu6xNx;0;0;1;[]
